Product,Brand,Type,Revenue,Gross Profit,CMGR,Period,%Total Revenue,% Variation from Average,%Total Gross Profit
BABY BLACK AUBERGENE,NGS,Fresh vegetables,100.0,34.67,5.537848359662534,17.0,0.009136122571218472,-91.3937725379122,0.013494092413379337
BABY BLACK AUBERGINE (ROUND),NGS,Fresh vegetables,350.0,146.04,19.45474408568506,20.0,0.03197642899926465,-69.8782038826927,0.056840993828956396
BABY CHERRY CARROTS,NGS,Fresh vegetables,18.75,3.75,0.0,21.0,0.0017130229821034635,-98.38633235085854,0.001459557154605495
BABY CORN,NGS,Chemical free vegetables,297.22,60.35,6.149466020349359,19.0,0.027154383506175547,-74.42057073718263,0.023489139808117766
BABY FRENCH BEANS,Kheir Misr,Fresh vegetables,1051.57,284.92,3.800008620661588,36.0,0.09607272412216208,-9.499493876923315,0.11089520653071937
BABY FRENCH SPINACH,Kheir Misr,Fresh vegetables,573.0,130.32,9.237114490304755,37.0,0.05234998233308184,-50.686316642236896,0.050722530236850166
BABY LEAF LETTUCE ( AQUAPONIC ),Bustan,Aquaponic vegetables,60.0,12.0,6.824169081440212,21.0,0.0054816735427310834,-94.83626352274733,0.004670582894737584
BABY ONIONS,NGS,Fresh vegetables,169.25,45.0,10.259462693168198,20.0,0.015462887451787264,-85.43396002041641,0.01751468585526594
BABY POTATOES ( CHEMICAL FREE ),NGS,Fresh vegetables,194.35,47.95,2.9083432689281263,16.0,0.0177560542171631,-83.27379692743236,0.01866287081688893
BABY POTATOES / DEFAULT,NGS,Fresh vegetables,156.0,58.5,10.816576738148619,20.0,0.014252351211100817,-86.57428515914303,0.02276909161184572
BABY RADISH,Kheir Misr,Fresh vegetables,180.18,51.42,3.098742495292073,36.0,0.016461465648821443,-84.49329935881019,0.020013447703950547
BABY RED ONIONS ( CHEMICAL FREE ),NGS,Fresh vegetables,14.5,3.01,7.58698027865683,16.0,0.0013247377728266784,-98.75209701799727,0.0011715378760966772
BABY SPINACH,NGS,Fresh vegetables,3802.3,1136.05,18.916003136569426,21.0,0.34738278852543997,227.2345867909645,0.44216797479721937
BABY SPINACH ( AQUAPONIC ),Bustan,Aquaponic vegetables,28.0,6.0,6.824169081440212,21.0,0.0025581143199411723,-97.59025631061542,0.002335291447368792
BABY STRIPED AUBEGENE,NGS,Fresh vegetables,12.5,5.0,0.0,18.0,0.001142015321402309,-98.92422156723903,0.00194607620614066
BABY SWEET CORN,NGS,Fresh vegetables,47.52,0.0,3.1886749863576647,35.0,0.004341485445843018,-95.91032071001588,0.0
BABY YELLOW CARROTS,Kheir Misr,Fresh vegetables,453.49,106.92,5.349611837939339,37.0,0.041431402248218646,-60.97161908217804,0.04161489359211187
BABY YELLOW ZUCCHINI,NGS,Fresh vegetables,175.0,37.0,1.696592574647271,20.0,0.015988214499632326,-84.93910194134635,0.014400963925440885
BAGUETTE,NGS,Bread&Bakry,6.5,6.5,0.0,28.0,0.0005938479671292007,-99.4405952149643,0.002529899067982858
BAGUTTE BROWN,NGS,Bread&Bakry,7.5,7.5,0.0,28.0,0.0006852091928413854,-99.35453294034342,0.00291911430921099
BAKING SODA / 453G,Bob's Red Mill,Baking supplments,1354.5,262.0,11.21838162548876,37.0,0.1237487802271542,16.571350973979268,0.10197439320177058
BALADY BREAD (WHOLE GRAIN),NGS,Bread,1052.8,396.59,10.7999888517597,19.0,0.09618509842978808,-9.393637279139634,0.15435887251866487
BALADY EGGS ( CHEMICAL FREE ),NGS,Eggs,8299.0,1737.0,25.839321630070966,23.0,0.758206812185421,614.2308170786666,0.6760668740132653
BALADY RAW HONEY,NGS,Honey,2708.0,611.3,10.49434252532382,20.0,0.24740619922859622,133.05663967333766,0.23792727696275706
BAMBOO SUSHI MATT,NGS,Japanese cuisine,41.5,8.25,0.0,21.0,0.0037914908670556658,-96.42841560323357,0.003211025740132089
BANANA,Kheir Misr,Fresh vegetables,4694.363487,805.583487,12.826301012516605,37.0,0.4288828021108455,304.0075995884165,0.31354537122210474
BANANA / 500G,NGS,Fresh Produce,512.82,118.44,4.591432442551691,41.0,0.04685186376972258,-55.86554432892133,0.046098653171059954
BANANAS ( IMPORTED ),NGS,Fresh fruits,2160.0,425.4,14.420817087144933,20.0,0.197340247538319,85.8945131810965,0.16557216361844737
BANANAS (CHEMICAL FREE),Balaika,Chemical free fruits,964.0,340.1,4.565318972072863,14.0,0.08807222158654607,-17.035967265473598,0.13237210354168769
BASIL,Tropical Heat,Condiments,10.0,3.0,0.0,21.0,0.0009136122571218472,-99.13937725379122,0.001167645723684396
BASMATI BROWN RICE ( ORGANIC ) / 907G,Lundberg Family Farms,Rice,5634.3,1181.9,14.315340809762489,37.0,0.5147565540301624,384.900673896413,0.4600134936075293
BATAW CRACKERS WITH SPICES,NGS,Bread,180.0,36.0,7.569058622018243,19.0,0.01644502062819325,-84.50879056824196,0.014011748684212752
BEDOUIN LAMB BEIT KALAWI ( CHEMICAL FREE ),NGS,Chemical free beef,780.0,162.5,17.387393494217605,16.0,0.07126175605550408,-32.87142579571515,0.06324747669957145
BEDOUIN LAMB LEG ( CHEMICAL FREE ),NGS,Chemical free beef,1662.5,332.5,12.93241814724655,16.0,0.1518880377465071,43.07853155720969,0.1294140677083539
BEE POLLEN DUST ( EGYPTIAN ) / 300G,NGS,Food supplements,1473.225,237.225,5.546557489492776,36.0,0.13459564174983335,26.789094528343,0.09233158560034362
BEE POLLEN GRANULES,"Starwest Botanicals,Inc.",Food supplements,336.0,48.0,6.121302333337275,35.0,0.030697371839294066,-71.083075727385,0.018682331578950336
BEEF (TRIBIANCO) / 1KG,Kheir Misr,Fresh Beef & Poultry,484.47003,154.47003,0.0,39.0,0.04426177576161891,-58.305407232555,0.060122089988966794
BEEF BBQ CUTTLETS (KABAB),Kheir Misr,Fresh Beef & Poultry,1404.0,324.0,4.148829228781081,37.0,0.12827116089990734,20.83143356771273,0.12610573815791476
BEEF CUBES (CHEMICAL FREE) - FROZEN,NGS,Chemical free beef,7580.0,2404.0,10.88145756147323,19.0,0.6925180908983601,552.3520416262554,0.9356734399124293
BEEF CUTLETS / 1KG,Kheir Misr,Fresh Beef & Poultry,766.32,189.92,4.007895869118161,41.0,0.0700119344877614,-34.048757712528754,0.07391975861404683
BEEF CUTLETS / 1KG,NGS,Fresh beef,8685.3,2455.3,7.42009042367513,37.0,0.7934996536780379,647.4766737647117,0.9556401817874326
BEEF ENTRECOTE / 1KG,Kheir Misr,Fresh Beef & Poultry,320.35,86.7,3.391826847043644,41.0,0.02926756865689838,-72.42995032520172,0.033744961414479045
BEEF ESCALOPE (CHEMICAL FREE) - FROZEN,NGS,Chemical free beef,5012.0,1543.26,20.771833916451456,20.0,0.4579024632694698,331.3441203998406,0.6006603131777271
BEEF ESCALOPE / 1KG,Kheir Misr,Fresh Beef & Poultry,1305.6,320.0,6.9963050009965055,41.0,0.11928121628982837,12.362905745018322,0.12454887719300224
BEEF ESCALOPE / 1KG,NGS,Fresh beef,4750.4,1517.76,9.538764593775184,37.0,0.4340023666231623,308.8302293590189,0.5907353245264096
BEEF FILLET (CHEMICAL FREE) - FROZEN,NGS,Chemical free beef,8865.0,1788.0,19.29857869914853,20.0,0.8099172659385175,662.9420645140837,0.6959168513159001
BEEF FILLET / 1KG,Kheir Misr,Fresh Beef & Poultry,5001.579970000001,1486.42008,3.904003654862276,41.0,0.45695047655671217,330.44734891642287,0.5785373500035393
BEEF FILLET / 1KG,NGS,Fresh beef,25178.217819999998,7735.71782,9.528780210015487,37.0,2.300312841283571,2066.8946964891243,3.0108592773840597
BEEF KIDNEY,Kheir Misr,Fresh Beef & Poultry,143.0,33.0,2.2611435601268326,31.0,0.013064655276842415,-87.69309472921445,0.012844102960528356
BEEF LIVER ( CHEMICAL FREE ) - FROZEN,NGS,Chemical free beef,495.0,99.0,9.856505999145648,16.0,0.045223806727531436,-57.39917406266539,0.03853230888158507
BEEF LIVER / 1KG,Kheir Misr,Fresh Beef & Poultry,244.8,48.8,1.0188177345910487,40.0,0.02236522805434282,-78.93195517280907,0.01899370377193284
BEEF LIVER / 1KG,NGS,Fresh beef,1879.2,477.25,8.847499152183502,37.0,0.17168601535833752,61.72822646755397,0.185752973876126
BEEF MINCE,NGS,Fresh Beef & Poultry,375.0,25.0,0.0,28.0,0.03426045964206927,-67.72664701717075,0.0097303810307033
BEEF MINCE (CHEMICAL FREE) - FROZEN,NGS,Chemical free beef,10970.0,3707.9,21.870717119346473,20.0,1.0022326460626665,844.1031525910319,1.4431711929497906
BEEF MINCE / 1KG,Kheir Misr,Fresh Beef & Poultry,1927.8,463.36,3.0112663853802957,41.0,0.17612617092794972,65.91085301412862,0.18034677417546724
BEEF MINCE / 1KG,NGS,Fresh beef,11978.32,2748.46,11.488942425393422,37.0,1.0943539971727765,930.8814653367556,1.0697425219058716
BEEF SHANKS ( CHEMICAL FREE ) - FROZEN,NGS,Chemical free beef,288.0,57.6,7.107548307291456,16.0,0.0263120330051092,-75.21406490918714,0.022418797894740404
BEEF SHANKS (MOWAZ) / 1KG,Kheir Misr,Fresh Beef & Poultry,1443.24,380.64,7.445717961845788,41.0,0.1318561753968535,24.20851722383598,0.14815088942107618
BEEF STEAK / 1KG,NGS,Fresh beef,3593.15,1008.15,11.287698935514644,36.0,0.3282745881677365,209.23466205400783,0.3923873454441413
BEEF STRIPS (CHEMICAL FREE) - FROZEN,NGS,Chemical free beef,3804.0,1068.9,15.316350996606221,20.0,0.3475381026091507,227.38089265782,0.41603217134875037
BEEF TOP SIDE ROAST / 1KG,Kheir Misr,Fresh Beef & Poultry,3552.78,1132.78,6.887661242929033,36.0,0.3245863354857356,205.76032802756296,0.4408952409584034
BEET ROOT,NGS,Fresh vegetables,288.0,72.96,9.05077326652577,32.0,0.0263120330051092,-75.21406490918714,0.02839714400000451
BEET ROOT POWDER,"Starwest Botanicals,Inc.",Herbs,340.0,52.0,5.981143414296297,36.0,0.031062816742142806,-70.73882662890148,0.020239192543862864
BEETROOT,NGS,Fresh vegetables,532.7,166.95,16.838700367591276,20.0,0.04866812493688081,-54.15462630945828,0.06497948452303665
BEGAWI EGGS ( CHEMICAL FREE ),NGS,Eggs,918.0,149.8,25.24306502184004,17.0,0.08386960520378557,-20.994831898033986,0.05830444313597418
BENCH PRESS OATS WITH APPLE AND CINNAMON ( WITH WHEY PROTEIN ),Alara,Cereal,1000.0,199.6,5.862586584952156,20.0,0.09136122571218472,-13.93772537912199,0.07768736214913514
BENTONITE CLAY,"Starwest Botanicals,Inc.",Herbal pharmacy,416.0,56.0,5.946309435929531,36.0,0.038006269896268846,-64.19809375771476,0.021796053508775393
BERRY MIX ( FROZEN ),Ardo,Frozen fruits,3909.0,862.46,14.165050514571398,22.0,0.3571310313089301,236.4174314930122,0.33568257694961473
BIO FENNEL SEED TEA,Klostergarten,Herbal Drinks,297.6,117.6,6.409286499841582,40.0,0.027189100771946178,-74.3878670728267,0.04577171236842832
BIOCRACKER OLIVE SALTED,Crich,Snacks,34.0,7.5,0.0,23.0,0.0031062816742142806,-97.07388266289016,0.00291911430921099
BIOCRACKER OLIVE UNSALTE,Crich,Snacks,102.0,22.5,0.0,23.0,0.009318845022642842,-91.22164798867045,0.00875734292763297
BIOCRACKER SESAME&ROSEMARY,Crich,Snacks,34.0,7.5,0.0,23.0,0.0031062816742142806,-97.07388266289016,0.00291911430921099
BISCOTTI CICCOLATO,Schar,Snacks,85.05,22.05,1.6350839811869022,25.0,0.007770272246821311,-92.68040354349434,0.008582196069080311
BITTER MELON POWDER,"Starwest Botanicals,Inc.",Herbal pharmacy,63.0,9.0,0.0,36.0,0.005755757219867637,-94.57807669888469,0.003502937171053188
BLACK PEPPER,Tropical Heat,Spices,12.0,3.5,0.0,16.0,0.0010963347085462167,-98.96725270454947,0.001362253344298462
BLACK PEPPER GRINDER,Tropical Heat,Spices,120.0,73.0,5.3707472093069475,21.0,0.010963347085462167,-89.67252704549465,0.028412712609653636
BLACK RADISH ROOT POWDER,"Starwest Botanicals,Inc.",Herbal pharmacy,111.0,16.5,1.2362614549220163,33.0,0.010141096054052504,-90.44708751708255,0.006422051480264178
BLACK SESAME GOMASIO / 100G,"Eden Foods, Inc.",Condiments,103.35,13.35,3.8528600600473917,36.0,0.009442182677354291,-91.10546391793227,0.005196023470395562
BLACKBERRIES,NGS,Fresh fruits,3252.0,1607.09,7.305268576798296,26.0,0.29710670601602474,179.8745170670953,0.6255039220253187
BLACKBERRIES ( FROZEN ),Ardo,Frozen fruits,1672.0,349.7,17.88389154260561,23.0,0.15275596939077285,43.89612316610803,0.13610856985747777
BLUE AGAVE SYRUP,Wholesome Sweeteners,Sweeteners,704.805,128.805,8.77903793438084,31.0,0.06439184868807635,-39.34287853583208,0.05013286914638954
BLUEBERRIES,NGS,Fresh fruits,3178.0,1627.75,6.6218602535500715,26.0,0.29034597531332307,173.50590874515032,0.6335451089090919
BLUEBERRIES ( FROZEN ),Ardo,Frozen fruits,1954.0,406.31,16.576633663255393,19.0,0.17851983504160895,68.16568460919562,0.15814204466340231
BLUEBERRY JUICE,Berry company,Juices,563.0,126.0,13.434590803494718,23.0,0.05143637007596,-51.54693938844568,0.04904112039474463
BOB'S BAKING BOOK,Bob's Red Mill,Books,180.0,18.0,0.0,33.0,0.01644502062819325,-84.50879056824196,0.007005874342106376
BOB'S COOKING BOOK,Bob's Red Mill,Books,360.0,36.0,2.1226606315364105,33.0,0.0328900412563865,-69.01758113648393,0.014011748684212752
BOB'S RED MILL BAG CLIP RED,Bob's Red Mill,Accessories,16.0,5.2,1.793188433739057,39.0,0.0014617796113949556,-98.62300360606596,0.0020239192543862867
BRAIN BOOSTER SEED MIX (MILLED),Signature,Seeds,875.0,250.0,18.461107871246462,19.0,0.07994107249816162,-24.69550970673174,0.097303810307033
BREADSTICKS ( GLUTEN FREE ),Schar,Crackers,1423.0,267.8,11.664550174015776,23.0,0.13000702418843885,22.46661678550941,0.10423184160089376
BROCCOLI,NGS,Fresh vegetables,1914.3600000000001,428.19,9.899484825321414,36.0,0.17489827605437794,64.75417604322404,0.16665807414147385
BROCCOLI / 1 KG,NGS,Fresh Produce,16.28,3.76,0.0,41.0,0.0014873607545943673,-98.59890616917211,0.0014634493070177763
BROCCOLI POWDER,"Starwest Botanicals,Inc.",Herbal pharmacy,315.0,45.0,4.847466627018671,34.0,0.028778786099338188,-72.89038349442343,0.01751468585526594
BROWN RICE ( EGYPTIAN ) / 750G,Kheir Misr,Rice,5771.35,1571.36,9.67036274330555,36.0,0.5272776100140173,396.6955086332043,0.6115972614562375
BROWN RICE CAKES / 247G,Lundberg Family Farms,Crackers,1160.75,194.2,10.349221748154935,36.0,0.10604754274541842,-0.10321473381584916,0.07558559984650323
BROWN RICE CRACKER / 75G,"Eden Foods, Inc.",Snacks,1005.3,163.8,6.320062671784976,36.0,0.0918454402084593,-13.481595323631339,0.06375345651316804
BROWN RICE FLOUR ( GLUTEN FREE ),NGS,Flour,600.0,120.0,8.611785747178779,16.0,0.05481673542731083,-48.36263522747319,0.04670582894737584
BROWN RICE PENNE ( AMERICAN ) - GLUTEN FREE - ORGANIC / 340G,Lundberg Family Farms,Pasta,8396.15,1861.89,8.683333139879235,36.0,0.7670825552633598,622.5917670580849,0.7246759654902467
BROWN RICE ROTINI ( AMERICAN ) - GLUTEN FREE - ORGANIC / 284G,Lundberg Family Farms,Pasta,4764.8,1023.05,8.05166451038495,36.0,0.4353179682734178,310.06952611355956,0.39818665253844043
BROWN RICE SPAGHETTI ( AMERICAN ) - GLUTEN FREE - ORGANIC / 284G,Lundberg Family Farms,Pasta,5982.15,1351.65,14.349324135973873,37.0,0.5465365563941459,414.8374361232854,0.5260827808060047
BROWN SUGAR ( CUBES ),Saintlouis,Sweeteners,114.0,24.0,3.200827973420961,22.0,0.010415179731189059,-90.1889006932199,0.009341165789475168
BROWN SUGAR / 750G,Kheir Misr,Sweeteners,2290.12,403.69,14.010824582915294,37.0,0.20922817022798848,97.09293635476514,0.1571223007313846
BROWN SUGAR / 793G,Bob's Red Mill,Honey & Sweeteners,49.9,6.7,0.0,36.0,0.004558925163038017,-95.70549249641817,0.0026077421162284844
BROWNIE MIX ( GLUTEN FREE ) / 595G,Bob's Red Mill,Flour,371.4,47.4,3.098742495292073,36.0,0.03393155922950541,-68.03647120580591,0.018448802434213457
BRUSSELS SPROUTS,NGS,Fresh vegetables,731.56,161.43,9.055526422019833,36.0,0.06683621828200585,-37.04028237835049,0.06283101639145736
BUCKWHEAT ( HULLED ) - ORGANIC / 454G,"Eden Foods, Inc.",Grains,2287.0,307.6,9.957081998368666,35.0,0.20894312320376646,96.824422057948,0.11972260820177343
BUCKWHEAT NOODLES,NGS,Pasta,198.0,40.5,10.024348285718364,23.0,0.018089522691012574,-82.95966962506616,0.015763217269739345
BURDOCK ROOT POWDER,"Starwest Botanicals,Inc.",Herbal pharmacy,96.0,15.0,3.2839831306309186,34.0,0.008770677668369734,-91.73802163639571,0.00583822861842198
BURGER BUN,NGS,Bread&Bakry,7.5,7.5,0.0,28.0,0.0006852091928413854,-99.35453294034342,0.00291911430921099
BUTTERHEAD LETTUCE,Hydrofarms,Fresh vegetables,285.6,81.6,0.0,35.0,0.02609276606339996,-75.42061436827723,0.03175996368421557
BUTTERHEAD LETTUCE ( AQUAPONIC ),Bustan,Aquaponic vegetables,22.5,4.5,0.0,20.0,0.002055627578524156,-98.06359882103025,0.001751468585526594
CABBAGE,NGS,Fresh vegetables,66.0,22.58,9.387187800662588,19.0,0.006029840897004191,-94.31988987502206,0.00878848014693122
CABBAGE PAK CHOI / 500G,NGS,Fresh Produce,298.21,68.86,1.990698708832661,40.0,0.0272448311196306,-74.33536908530796,0.02680136151096917
CAMEL MILK (FROZEN),NGS,Milk,1551.5,480.5,10.80139727958338,19.0,0.1417469416924546,33.52561907429224,0.18701792341011744
CANADIAN ANGUS BEEF BACON,NGS,Frozen,375.0,75.0,3.200827973420961,22.0,0.03426045964206927,-67.72664701717075,0.029191143092109902
CANADIAN ANGUS BEEF FILLET,NGS,Frozen,197.5,-556.5,0.0,21.0,0.018043842078156482,-83.0027007623766,-0.21659828174345547
CAPSICUM (ROUMY),Kheir Misr,Fresh vegetables,69.53,14.23,8.211665169045945,37.0,0.006352346023768204,-94.01609004561035,0.005538532882676319
CARAWAY ( CHEMICAL FREE ),NGS,Herbs,39.0,9.0,7.107548307291456,16.0,0.0035630878027752043,-96.64357128978577,0.003502937171053188
CARDAMOMS,Tropical Heat,Spices,28.0,7.0,0.0,15.0,0.0025581143199411723,-97.59025631061542,0.002724506688596924
CARROT  (ORGANIC),NGS,Fresh vegetables,15.0,15.0,0.0,27.0,0.0013704183856827709,-98.70906588068684,0.00583822861842198
CARROT ( CHEMICAL FREE ),NGS,Fresh vegetables,147.0,36.75,2.1252193235536287,16.0,0.013430100179691155,-87.34884563073093,0.014303660115133851
CARROTS,NGS,Fresh vegetables,74.0,17.3,4.979302863243951,20.0,0.00676073070270167,-93.63139167805504,0.006733423673246684
CAULIFLOWER,Kheir Misr,Fresh vegetables,731.17,124.45,7.080200445477214,36.0,0.06680058740397811,-37.07384666545263,0.04843783677084103
CAULIFLOWER,NGS,Fresh Produce,53.2,8.85,4.213098288985639,39.0,0.004860417207888227,-95.42148699016929,0.0034445548848689683
CAYENNE PEPPER,Tropical Heat,Spices,592.2,168.2,14.188453211635155,23.0,0.0541041178667558,-49.03392096951603,0.0654660035745718
CAYENNE PEPPER - COLORED ( CHEMICAL FREE ),NGS,Fresh vegetables,12.0,2.74,0.0,15.0,0.0010963347085462167,-98.96725270454947,0.0010664497609650817
CAYENNE PEPPER - RED ( CHEMICAL FREE ),NGS,Fresh vegetables,12.0,2.64,0.0,15.0,0.0010963347085462167,-98.96725270454947,0.0010275282368422684
CELERY ( AQUAPONIC ),Bustan,Aquaponic vegetables,90.0,18.0,0.0,20.0,0.008222510314096624,-92.25439528412099,0.007005874342106376
CELERY SALT,Tropical Heat,Spices,156.0,39.0,11.797558599526713,23.0,0.014252351211100817,-86.57428515914303,0.015179394407897149
