Product,Brand,Type,Revenue,Gross Profit,CMGR,Period,%Total Revenue,% Variation from Average,%Total Gross Profit
ALMOND MILK WITH DARK CHOCOLATE,Pure almond,Non-dairy milk,57.0,11.44,0.0,20.0,0.005211375000575732,-95.09088474945766,0.004466442699854031
ALMOND MILK WITH VANILLA,Pure almond,Non-dairy milk,114.0,24.16,7.177346253629313,20.0,0.010422750001151464,-90.18176949891533,0.009432627240251169
ALMONDS SHELL ON - ROASTED & SALTED / 250G,NGS,Dried Fruits & Nuts,301.8,64.3,6.835952568006354,40.0,0.027592859213574662,-74.00752662081267,0.025104219021032707
ALPHABET PASTA ( GLUTEN FREE ) - ITALIAN,NGS,Pasta,262.5,52.5,3.059554475200943,23.0,0.02399975329212508,-77.39223239881818,0.020497223928525928
AMERICAN GREEN APPLE / 500G,NGS,Fresh Produce,468.9,93.6,5.9253725177288885,40.0,0.04287041645210457,-59.61606770211749,0.036543622089714796
AMERICAN GREEN APPLES,Kheir Misr,Fresh vegetables,2037.07,405.8,6.751858220987983,35.0,0.18624448548110187,75.44230532319796,0.1584337803846823
AMERICAN RED APPLE / 500G,NGS,Fresh Produce,497.52,114.84,7.4934031819537505,40.0,0.04548707526818312,-57.1511750973715,0.044836213256227
AMERICAN RED APPLES,Kheir Misr,Fresh fruits,2657.25,457.21,10.725145057094831,35.0,0.2429460740399976,128.85520174567773,0.17850544290212075
AMERICAN YELLOW APPLES,Kheir Misr,Fresh fruits,952.97,201.31,7.418478128156458,35.0,0.087127790075415,-17.925621748959063,0.0785961171247915
ANIMAL SHAPED BISCUITS ( GLUTEN FREE ),NGS,Cookies,310.3,56.2,12.726304593629534,14.0,0.02836999408208157,-73.27546557467916,0.021941790186345848
ANNAS ALMOND THINS,Biscuits,Snacks,50.25,10.05,5.3707472093069475,21.0,0.0045942384873496585,-95.67222734491662,0.003923754294889249
ANNAS CAPPUCCINO THINS,Biscuits,Snacks,67.0,13.4,3.200827973420961,22.0,0.006125651316466211,-94.22963645988884,0.005231672393185665
ANTISEPTIC CREAM WITH TEA TREE OIL / 118ML,"Tea Tree Therapy, Inc.",Cosmetics,203.4,30.6,3.1886749863576647,35.0,0.018596380265212348,-82.48220979016997,0.011946953375483682
APPLE AND MANGO JUICE ( ORGANIC ),Voelkel,Juices,41.25,8.25,0.0,20.0,0.003771389803048227,-96.44735080552857,0.003220992331625503
APPLE CIDER VINEGAR ( ORGANIC ) / 473G,"Eden Foods, Inc.",Vinegar,6313.1,1827.54,16.25365716784728,36.0,0.5771917809848185,443.714657687699,0.7135142213016814
APPLE CINNAMON BROWN RICE CAKES / 269G,Lundberg Family Farms,Snacks,1114.25,180.3,5.563399276484038,35.0,0.10187323849809665,-4.035409334792952,0.0703933233202519
APPLE CINNAMON NO FAT GRANOLA / 340G,Bob's Red Mill,Cereal,198.0,36.0,1.2586467339374297,23.0,0.018102671054631488,-82.94728386653713,0.01405523926527492
APPLES (SUKARY),Kheir Misr,Fresh fruits,3194.56,548.74,9.678711176135124,35.0,0.29207105476910894,175.13093359250064,0.21424088873408223
APPRICOT,NGS,Fresh fruits,219.25,47.26,13.897301037468157,17.0,0.020045508225898758,-81.11713125120338,0.018451405768802578
ARGAN OIL HAIR CONDITIONER,Healing Herbs,Cosmetics,300.0,60.0,5.222297013984201,18.0,0.027428289476714378,-74.16255131293505,0.0234253987754582
ARTICHOKE,NGS,Fresh vegetables,117.0,26.91,3.6362325850394894,33.0,0.010697032895918607,-89.92339501204468,0.010506291350793003
ARUGULA ( AQUAPONIC ),Bustan,Aquaponic vegetables,68.75,13.75,4.0210262311588085,20.0,0.006285649671747045,-94.07891800921429,0.005368320552709171
ARUGULA ( CHEMICAL FREE ),NGS,Fresh vegetables,104.0,21.06,3.735038531087276,15.0,0.009508473685260985,-91.04301778848415,0.008222314970185829
ASHWAGANDHA ROOT,"Starwest Botanicals,Inc.",Herbs,329.0,45.5,5.717201531604577,35.0,0.03007969079279677,-71.66493127318545,0.017764260738055804
AUBERGENE (ROUMY),NGS,Fresh vegetables,28.0,4.0,9.490973512727452,19.0,0.002559973684493342,-97.58850478920728,0.0015616932516972135
AUBERGENE (ROUMY) - CHEMICAL FREE,NGS,Fresh vegetables,445.0,98.88,20.020299668192077,17.0,0.04068529605712633,-61.674451114187,0.038605057181955116
AUBERGINE (ROUMY),Kheir Misr,Fresh vegetables,245.03795499999998,42.167955,12.188704235737902,36.0,0.0224032398750737,-78.89614803768056,0.016463352690342943
AUBERGINE AROUS BLACK,NGS,Fresh vegetables,21.0,3.2,1.7866800317204001,19.0,0.0019199802633700065,-98.19137859190546,0.0012493546013577707
AUBERGINE AROUS WHITE,NGS,Fresh vegetables,13.25,3.25,4.034065790226782,19.0,0.001211416118554885,-98.8588460163213,0.001268875767003986
AUSTRALIAN BEEF FILLET,NGS,Australian beef,250.0,110.0,0.0,35.0,0.022856907897261983,-78.46879276077921,0.04294656442167337
AUSTRALIAN BEEF RIB EYE,NGS,Australian beef,54.0,36.5,0.0,31.0,0.004937092105808588,-95.34925923632831,0.014250450921737073
AUSTRALIAN BEEF STEAK,NGS,Australian beef,132.0,76.0,1.3165430682974488,31.0,0.012068447369754326,-88.63152257769143,0.029672171782247056
AVOCADO,Kheir Misr,Fresh fruits,12049.565673000001,1954.455673,10.360333517341758,36.0,1.1016632511590823,937.7667825918556,0.7630650588163589
AVOCADO,NGS,Fresh Produce,1362.24,227.04,3.606165073133649,40.0,0.12454637685586464,17.3226869982245,0.08864170896633383
AVOCADOES ( IMPORTED ),NGS,Fresh fruits,9742.3,2284.5,21.03578062132725,19.0,0.8907154152299815,739.0539211466426,0.891922058375571
BABY BLACK AUBERGENE,NGS,Fresh vegetables,100.0,34.67,5.893974898014798,16.0,0.009142763158904792,-91.38751710431168,0.013535976259085598
BABY BLACK AUBERGINE (ROUND),NGS,Fresh vegetables,350.0,146.04,20.577628830936767,19.0,0.03199967105616677,-69.85630986509089,0.05701742061946526
BABY CHERRY CARROTS,NGS,Fresh vegetables,18.75,3.75,0.0,20.0,0.0017142680922946486,-98.38515945705845,0.0014640874234661376
BABY CORN,NGS,Chemical free vegetables,297.22,60.35,6.501982562311981,18.0,0.027174120660896826,-74.4019783374352,0.023562046934981706
BABY FRENCH BEANS,Kheir Misr,Fresh vegetables,1051.57,284.92,3.9106764709133435,35.0,0.09614255455009513,-9.433713613810392,0.11123941031839252
BABY FRENCH SPINACH,Kheir Misr,Fresh vegetables,573.0,130.32,9.505531925381948,36.0,0.05238803290052446,-50.650473007705955,0.05087996614029521
BABY LEAF LETTUCE ( AQUAPONIC ),Bustan,Aquaponic vegetables,60.0,12.0,7.177346253629313,20.0,0.005485657895342876,-94.83251026258701,0.00468507975509164
BABY ONIONS,NGS,Fresh vegetables,169.25,45.0,10.827691232472025,19.0,0.015474126646446361,-85.42337269904753,0.017569049081593652
BABY POTATOES ( CHEMICAL FREE ),NGS,Fresh vegetables,194.35,47.95,3.1052134369807805,15.0,0.017768960199331465,-83.26163949222976,0.018720797854720347
BABY POTATOES / DEFAULT,NGS,Fresh vegetables,156.0,58.5,11.417227554264153,19.0,0.014262710527891477,-86.56452668272622,0.022839763806071747
BABY RADISH,Kheir Misr,Fresh vegetables,180.18,51.42,3.1886749863576647,35.0,0.016473430659714655,-84.48202831854879,0.02007556675056768
BABY RED ONIONS ( CHEMICAL FREE ),NGS,Fresh vegetables,14.5,3.01,8.112779420592586,15.0,0.0013257006580411949,-98.75118998012519,0.001175174171902153
BABY SPINACH,NGS,Fresh vegetables,3802.3,1136.05,19.95057080642857,20.0,0.3476352835910369,227.4724371427568,0.4435404046476548
BABY SPINACH ( AQUAPONIC ),Bustan,Aquaponic vegetables,28.0,6.0,7.177346253629313,20.0,0.002559973684493342,-97.58850478920728,0.00234253987754582
BABY STRIPED AUBEGENE,NGS,Fresh vegetables,12.5,5.0,0.0,17.0,0.001142845394863099,-98.92343963803896,0.001952116564621517
BABY SWEET CORN,NGS,Fresh vegetables,47.52,0.0,3.2839831306309186,34.0,0.0043446410531115575,-95.90734812796892,0.0
BABY YELLOW CARROTS,Kheir Misr,Fresh vegetables,453.49,106.92,5.502228334581649,36.0,0.04146151664931735,-60.943251316343066,0.041744060617866514
BABY YELLOW ZUCCHINI,NGS,Fresh vegetables,175.0,37.0,1.7866800317204001,19.0,0.015999835528083386,-84.92815493254545,0.014445662578199224
BAGUETTE,NGS,Bread&Bakry,6.5,6.5,0.0,27.0,0.0005942796053288116,-99.44018861178026,0.002537751534007972
BAGUTTE BROWN,NGS,Bread&Bakry,7.5,7.5,0.0,27.0,0.0006857072369178595,-99.35406378282337,0.002928174846932275
BAKING SODA / 453G,Bob's Red Mill,Baking supplments,1354.5,262.0,11.54734908440982,36.0,0.12383872698736541,16.65608082209822,0.10229090798616748
BALADY BREAD (WHOLE GRAIN),NGS,Bread,1052.8,396.59,11.433082785778304,18.0,0.09625501053694965,-9.327780074193425,0.15483798167264948
BALADY EGGS ( CHEMICAL FREE ),NGS,Eggs,8299.0,1737.0,27.16086576091683,22.0,0.7587579145575087,614.7499555131733,0.6781652945495149
BALADY RAW HONEY,NGS,Honey,2708.0,611.3,11.07622125891461,19.0,0.24758602634314178,133.22603681523955,0.23866577119062662
BAMBOO SUSHI MATT,NGS,Japanese cuisine,41.5,8.25,0.0,20.0,0.003794246710945489,-96.42581959828935,0.003220992331625503
BANANA,Kheir Misr,Fresh vegetables,4694.363487,805.583487,13.205152261949205,36.0,0.42919453543451436,304.30125237931253,0.3145185738316525
BANANA / 500G,NGS,Fresh Produce,512.82,118.44,4.708879873243488,40.0,0.04688591803149556,-55.83346521433118,0.04624173718275449
BANANAS ( IMPORTED ),NGS,Fresh fruits,2160.0,425.4,15.234960596047365,19.0,0.19748368423234353,86.0296305468676,0.16608607731799865
BANANAS (CHEMICAL FREE),Balaika,Chemical free fruits,964.0,340.1,4.925011518494915,13.0,0.0881362368518422,-16.975664885564647,0.13278296872555556
BASIL,Tropical Heat,Condiments,10.0,3.0,0.0,20.0,0.0009142763158904792,-99.13875171043117,0.00117126993877291
BASMATI BROWN RICE ( ORGANIC ) / 907G,Lundberg Family Farms,Rice,5634.3,1181.9,14.74097337088347,36.0,0.5151307046621727,385.25312379176677,0.4614413135452342
BATAW CRACKERS WITH SPICES,NGS,Bread,180.0,36.0,8.00597388923061,18.0,0.016456973686028626,-84.49753078776104,0.01405523926527492
BEDOUIN LAMB BEIT KALAWI ( CHEMICAL FREE ),NGS,Chemical free beef,780.0,162.5,18.64867432349142,15.0,0.07131355263945738,-32.822633413631145,0.0634437883501993
BEDOUIN LAMB LEG ( CHEMICAL FREE ),NGS,Chemical free beef,1662.5,332.5,13.85179164293644,15.0,0.15199843751679218,43.182528140818235,0.12981575154733085
BEE POLLEN DUST ( EGYPTIAN ) / 300G,NGS,Food supplements,1473.225,237.225,5.709471989157788,35.0,0.13469347254777514,26.881251140004167,0.09261817040846787
BEE POLLEN GRANULES,"Starwest Botanicals,Inc.",Food supplements,336.0,48.0,6.306903982259304,34.0,0.030719684213920104,-71.06205747048726,0.01874031902036656
BEEF (TRIBIANCO) / 1KG,Kheir Misr,Fresh Beef & Poultry,484.47003,154.47003,0.0,38.0,0.044293947418775,-58.275101531513954,0.06030870086011653
BEEF BBQ CUTTLETS (KABAB),Kheir Misr,Fresh Beef & Poultry,1404.0,324.0,4.266499180467975,36.0,0.1283643947510233,20.919259855463938,0.12649715338747428
BEEF CUBES (CHEMICAL FREE) - FROZEN,NGS,Chemical free beef,7580.0,2404.0,11.51957066158118,18.0,0.6930214474449833,552.8262034931743,0.9385776442700253
BEEF CUTLETS / 1KG,Kheir Misr,Fresh Beef & Poultry,766.32,189.92,4.11012507715085,40.0,0.0700628226393192,-34.0008210737613,0.0741491955905837
BEEF CUTLETS / 1KG,NGS,Fresh beef,8685.3,2455.3,7.633881002859089,36.0,0.7940764086403579,648.0199769392171,0.9586063602230421
BEEF ENTRECOTE / 1KG,Kheir Misr,Fresh Beef & Poultry,320.35,86.7,3.4780805489804223,40.0,0.029288841779551506,-72.40991104366249,0.0338497012305371
BEEF ESCALOPE (CHEMICAL FREE) - FROZEN,NGS,Chemical free beef,5012.0,1543.26,21.977476201670676,19.0,0.4582352895243082,331.65764273189836,0.6025246819035605
BEEF ESCALOPE / 1KG,Kheir Misr,Fresh Beef & Poultry,1305.6,320.0,7.177346253629313,40.0,0.11936791580266096,12.44457668610663,0.12493546013577708
BEEF ESCALOPE / 1KG,NGS,Fresh beef,4750.4,1517.76,9.816334911471959,36.0,0.43431782110061323,309.12738747677764,0.5925688874239907
BEEF FILLET (CHEMICAL FREE) - FROZEN,NGS,Chemical free beef,8865.0,1788.0,20.411704695019406,19.0,0.8105059540369098,663.4966087027691,0.6980768835086544
BEEF FILLET / 1KG,Kheir Misr,Fresh Beef & Poultry,5001.579970000001,1486.42008,4.003532220523853,40.0,0.45728261086032146,330.7602194304228,0.5803330520308081
BEEF FILLET / 1KG,NGS,Fresh beef,25178.217819999998,7735.71782,9.806047193610489,36.0,2.301984822915761,2068.4697031866467,3.02020457913197
BEEF KIDNEY,Kheir Misr,Fresh Beef & Poultry,143.0,33.0,2.3373891996774976,30.0,0.013074151317233853,-87.68414945916571,0.012883969326502012
BEEF LIVER ( CHEMICAL FREE ) - FROZEN,NGS,Chemical free beef,495.0,99.0,10.547137359891657,15.0,0.04525667763657872,-57.36820966634284,0.03865190797950603
BEEF LIVER / 1KG,Kheir Misr,Fresh Beef & Poultry,244.8,48.8,1.0450773046505324,39.0,0.02238148421299893,-78.91664187135501,0.019052657670706005
BEEF LIVER / 1KG,NGS,Fresh beef,1879.2,477.25,9.104129891199463,36.0,0.17181080528213885,61.84577857577481,0.18632952609312378
BEEF MINCE,NGS,Fresh Beef & Poultry,375.0,25.0,0.0,27.0,0.034285361845892974,-67.70318914116882,0.009760582823107584
BEEF MINCE (CHEMICAL FREE) - FROZEN,NGS,Chemical free beef,10970.0,3707.9,23.1460216034449,19.0,1.0029611185318557,844.7893736570081,1.4476506019920243
BEEF MINCE / 1KG,Kheir Misr,Fresh Beef & Poultry,1927.8,463.36,3.0876986432815334,40.0,0.1762541881773666,66.03144526307933,0.1809065462766052
BEEF MINCE / 1KG,NGS,Fresh beef,11978.32,2748.46,11.826257386595929,36.0,1.0951494280157246,931.6307611908124,1.073062858639931
BEEF SHANKS ( CHEMICAL FREE ) - FROZEN,NGS,Chemical free beef,288.0,57.6,7.598962472534576,15.0,0.026331157897645802,-75.19604926041765,0.022488382824439875
BEEF SHANKS (MOWAZ) / 1KG,Kheir Misr,Fresh Beef & Poultry,1443.24,380.64,7.638798163973526,40.0,0.13195201501457754,24.298798143732036,0.14861072983150683
BEEF STEAK / 1KG,NGS,Fresh beef,3593.15,1008.15,11.628277802742915,35.0,0.32851319444418753,209.45942916642468,0.39360526292463643
BEEF STRIPS (CHEMICAL FREE) - FROZEN,NGS,Chemical free beef,3804.0,1068.9,16.18453032786085,19.0,0.3477907105647383,227.6188493519835,0.4173234791847879
BEEF TOP SIDE ROAST / 1KG,Kheir Misr,Fresh Beef & Poultry,3552.78,1132.78,7.091271924460996,35.0,0.32482226095693767,205.98256982143533,0.4422637204143924
BEET ROOT,NGS,Fresh vegetables,288.0,72.96,9.355990875861075,31.0,0.026331157897645802,-75.19604926041765,0.02848528491095717
BEET ROOT POWDER,"Starwest Botanicals,Inc.",Herbs,340.0,52.0,6.157190916391531,35.0,0.031085394740276294,-70.71755815465973,0.020302012272063776
BEETROOT,NGS,Fresh vegetables,532.7,166.95,17.79962642841719,19.0,0.048703499347485836,-54.12130361466834,0.06518117209271244
BEGAWI EGGS ( CHEMICAL FREE ),NGS,Eggs,918.0,149.8,27.017421701796263,16.0,0.083930565798746,-20.937407017581272,0.058485412276060654
BENCH PRESS OATS WITH APPLE AND CINNAMON ( WITH WHEY PROTEIN ),Alara,Cereal,1000.0,199.6,6.180493129046982,19.0,0.09142763158904793,-13.875171043116852,0.07792849325969095
BENTONITE CLAY,"Starwest Botanicals,Inc.",Herbal pharmacy,416.0,56.0,6.121302333337275,35.0,0.03803389474104394,-64.17207115393661,0.021863705523760987
BERRY MIX ( FROZEN ),Ardo,Frozen fruits,3909.0,862.46,14.887518242506559,21.0,0.3573906118815883,236.66195639245623,0.33672449046469466
BIO FENNEL SEED TEA,Klostergarten,Herbal Drinks,297.6,117.6,6.5789197364109375,39.0,0.027208863160900664,-74.36925090243157,0.045913781599898076
BIOCRACKER OLIVE SALTED,Crich,Snacks,34.0,7.5,0.0,22.0,0.0031085394740276297,-97.07175581546598,0.002928174846932275
BIOCRACKER OLIVE UNSALTE,Crich,Snacks,102.0,22.5,0.0,22.0,0.009325618422082889,-91.21526744639792,0.008784524540796826
BIOCRACKER SESAME&ROSEMARY,Crich,Snacks,34.0,7.5,0.0,22.0,0.0031085394740276297,-97.07175581546598,0.002928174846932275
BISCOTTI CICCOLATO,Schar,Snacks,85.05,22.05,1.7037896605586855,24.0,0.007775920066648526,-92.67508329721709,0.008608834049980888
BITTER MELON POWDER,"Starwest Botanicals,Inc.",Herbal pharmacy,63.0,9.0,0.0,35.0,0.005759940790110019,-94.57413577571636,0.00351380981631873
BLACK PEPPER,Tropical Heat,Spices,12.0,3.5,0.0,15.0,0.001097131579068575,-98.9665020525174,0.0013664815952350617
BLACK PEPPER GRINDER,Tropical Heat,Spices,120.0,73.0,5.6467308549537965,20.0,0.010971315790685752,-89.66502052517403,0.028500901843474147
BLACK RADISH ROOT POWDER,"Starwest Botanicals,Inc.",Herbal pharmacy,111.0,16.5,1.2751399143162034,32.0,0.01014846710638432,-90.44014398578597,0.006441984663251006
BLACK SESAME GOMASIO / 100G,"Eden Foods, Inc.",Condiments,103.35,13.35,3.9650963054582267,35.0,0.009449045724728104,-91.09899892730613,0.00521215122753945
BLACKBERRIES,NGS,Fresh fruits,3252.0,1607.09,7.608329059902497,25.0,0.29732265792758383,180.077943767784,0.6274454019675187
BLACKBERRIES ( FROZEN ),Ardo,Frozen fruits,1672.0,349.7,18.76880707126254,22.0,0.15286700001688813,44.00071401590862,0.1365310325296289
BLUE AGAVE SYRUP,Wholesome Sweeteners,Sweeteners,704.805,128.805,9.084585888524499,30.0,0.06443865188211892,-39.29878992704398,0.050288474821214894
BLUEBERRIES,NGS,Fresh fruits,3178.0,1627.75,6.895668032869895,25.0,0.29055701318999433,173.70470642497463,0.6355115476125348
BLUEBERRIES ( FROZEN ),Ardo,Frozen fruits,1954.0,406.31,17.574231749930114,18.0,0.17864959212499965,68.28791578174967,0.1586328962742737
BLUEBERRY JUICE,Berry company,Juices,563.0,126.0,14.086417018379581,22.0,0.05147375658463398,-51.51172129727479,0.04919333742846222
BOB'S BAKING BOOK,Bob's Red Mill,Books,180.0,18.0,0.0,32.0,0.016456973686028626,-84.49753078776104,0.00702761963263746
BOB'S COOKING BOOK,Bob's Red Mill,Books,360.0,36.0,2.1897148654116627,32.0,0.03291394737205725,-68.99506157552207,0.01405523926527492
BOB'S RED MILL BAG CLIP RED,Bob's Red Mill,Accessories,16.0,5.2,1.8408093274101978,38.0,0.0014628421054247668,-98.62200273668986,0.0020302012272063776
BRAIN BOOSTER SEED MIX (MILLED),Signature,Seeds,875.0,250.0,19.581317450040192,18.0,0.07999917764041693,-24.640774662727246,0.09760582823107584
BREADSTICKS ( GLUTEN FREE ),Schar,Crackers,1423.0,267.8,12.22594986360306,22.0,0.1301015197512152,22.55563160564472,0.10455536320112845
BROCCOLI,NGS,Fresh vegetables,1914.3600000000001,428.19,10.196286899267415,35.0,0.1750254008088098,64.87392756189884,0.16717535836105746
BROCCOLI / 1 KG,NGS,Fresh Produce,16.28,3.76,0.0,40.0,0.0014884418422697002,-98.59788778458194,0.0014679916565953806
BROCCOLI POWDER,"Starwest Botanicals,Inc.",Herbal pharmacy,315.0,45.0,4.997971594092743,33.0,0.028799703950550096,-72.87067887858181,0.017569049081593652
BROWN RICE ( EGYPTIAN ) / 750G,Kheir Misr,Rice,5771.35,1571.36,9.95998905246205,35.0,0.5276608615714518,397.05653160030755,0.6134955769967333
BROWN RICE CAKES / 247G,Lundberg Family Farms,Crackers,1160.75,194.2,10.660149821737907,35.0,0.10612462336698737,-0.0306047882978853,0.07582020736989971
BROWN RICE CRACKER / 75G,"Eden Foods, Inc.",Snacks,1005.3,163.8,6.5063885881685435,35.0,0.09191219803646988,-13.418709449645375,0.0639513386570009
BROWN RICE FLOUR ( GLUTEN FREE ),NGS,Flour,600.0,120.0,9.211595327008325,15.0,0.054856578953428756,-48.325102625870116,0.0468507975509164
BROWN RICE PENNE ( AMERICAN ) - GLUTEN FREE - ORGANIC / 340G,Lundberg Family Farms,Pasta,8396.15,1861.89,8.942208758009862,35.0,0.7676401089663847,623.1169826463343,0.7269252621006312
BROWN RICE ROTINI ( AMERICAN ) - GLUTEN FREE - ORGANIC / 284G,Lundberg Family Farms,Pasta,4764.8,1023.05,8.290999053122539,35.0,0.43563437899549556,310.3675850137568,0.39942257028720857
BROWN RICE SPAGHETTI ( AMERICAN ) - GLUTEN FREE - ORGANIC / 284G,Lundberg Family Farms,Pasta,5982.15,1351.65,14.77603086864332,36.0,0.5469338063104231,415.2116455444185,0.5277156709141346
BROWN SUGAR ( CUBES ),Saintlouis,Sweeteners,114.0,24.0,3.355778300702772,21.0,0.010422750001151464,-90.18176949891533,0.00937015951018328
BROWN SUGAR / 750G,Kheir Misr,Sweeteners,2290.12,403.69,14.426844686412599,36.0,0.20938024765471044,97.23619329073722,0.15760998719441202
BROWN SUGAR / 793G,Bob's Red Mill,Honey & Sweeteners,49.9,6.7,0.0,35.0,0.004562238816293492,-95.70237103505151,0.0026158361965928326
BROWNIE MIX ( GLUTEN FREE ) / 595G,Bob's Red Mill,Flour,371.4,47.4,3.1886749863576647,35.0,0.0339562223721724,-68.0132385254136,0.018506065032611978
BRUSSELS SPROUTS,NGS,Fresh vegetables,731.56,161.43,9.325966752921877,35.0,0.06688479816528389,-36.99452012830257,0.06302603540537029
BUCKWHEAT ( HULLED ) - ORGANIC / 454G,"Eden Foods, Inc.",Grains,2287.0,307.6,10.264485003577018,34.0,0.2090949934441526,96.96748382439176,0.12009421105551572
BUCKWHEAT NOODLES,NGS,Pasta,198.0,40.5,10.50315033964666,22.0,0.018102671054631488,-82.94728386653713,0.015812144173434284
BURDOCK ROOT POWDER,"Starwest Botanicals,Inc.",Herbal pharmacy,96.0,15.0,3.38516372166493,33.0,0.0087770526325486,-91.73201642013922,0.00585634969386455
BURGER BUN,NGS,Bread&Bakry,7.5,7.5,0.0,27.0,0.0006857072369178595,-99.35406378282337,0.002928174846932275
BUTTERHEAD LETTUCE,Hydrofarms,Fresh vegetables,285.6,81.6,0.0,34.0,0.026111731581832092,-75.40274884991418,0.03185854233462315
BUTTERHEAD LETTUCE ( AQUAPONIC ),Bustan,Aquaponic vegetables,22.5,4.5,0.0,19.0,0.0020571217107535783,-98.06219134847014,0.001756904908159365
CABBAGE,NGS,Fresh vegetables,66.0,22.58,9.933805154721664,18.0,0.006034223684877163,-94.31576128884572,0.00881575840583077
CABBAGE PAK CHOI / 500G,NGS,Fresh Produce,298.21,68.86,2.0422600180123096,39.0,0.027264634016169978,-74.31671475676788,0.02688454932796753
CAMEL MILK (FROZEN),NGS,Milk,1551.5,480.5,11.434577954743474,18.0,0.14184997041040787,33.6226721266042,0.18759840186012777
CANADIAN ANGUS BEEF BACON,NGS,Frozen,375.0,75.0,3.355778300702772,21.0,0.034285361845892974,-67.70318914116882,0.02928174846932275
CANADIAN ANGUS BEEF FILLET,NGS,Frozen,197.5,-556.5,0.0,20.0,0.018056957238836966,-82.99034628101558,-0.21727057364237481
CAPSICUM (ROUMY),Kheir Misr,Fresh vegetables,69.53,14.23,8.449146344836489,36.0,0.006356963224386503,-94.01174064262791,0.0055557237429128365
CARAWAY ( CHEMICAL FREE ),NGS,Herbs,39.0,9.0,7.598962472534576,15.0,0.003565677631972869,-96.64113167068156,0.00351380981631873
CARDAMOMS,Tropical Heat,Spices,28.0,7.0,0.0,14.0,0.002559973684493342,-97.58850478920728,0.0027329631904701233
CARROT  (ORGANIC),NGS,Fresh vegetables,15.0,15.0,0.0,26.0,0.001371414473835719,-98.70812756564675,0.00585634969386455
CARROT ( CHEMICAL FREE ),NGS,Fresh vegetables,147.0,36.75,2.268495988716035,15.0,0.013439861843590044,-87.33965014333818,0.014348056749968148
CARROTS,NGS,Fresh vegetables,74.0,17.3,5.248133978996838,19.0,0.006765644737589546,-93.62676265719065,0.006754323313590448
CAULIFLOWER,Kheir Misr,Fresh vegetables,731.17,124.45,7.289694597729146,35.0,0.06684914138896417,-37.02810881159575,0.04858818129342955
CAULIFLOWER,NGS,Fresh Produce,53.2,8.85,4.326334198532411,38.0,0.004863950000537349,-95.41815909949382,0.003455246319380085
CAYENNE PEPPER,Tropical Heat,Spices,592.2,168.2,14.879194175145582,22.0,0.054143443427034185,-48.99687629173379,0.06566920123386782
CAYENNE PEPPER - COLORED ( CHEMICAL FREE ),NGS,Fresh vegetables,12.0,2.74,0.0,14.0,0.001097131579068575,-98.9665020525174,0.0010697598774125911
CAYENNE PEPPER - RED ( CHEMICAL FREE ),NGS,Fresh vegetables,12.0,2.64,0.0,14.0,0.001097131579068575,-98.9665020525174,0.0010307175461201608
CELERY ( AQUAPONIC ),Bustan,Aquaponic vegetables,90.0,18.0,0.0,19.0,0.008228486843014313,-92.24876539388052,0.00702761963263746
CELERY SALT,Tropical Heat,Spices,156.0,39.0,12.365707011510096,22.0,0.014262710527891477,-86.56452668272622,0.015226509204047832
