Type,Jul 2012,Aug 2012,Sep 2012,Oct 2012,Nov 2012,Dec 2012,Jan 2013,Feb 2013,Mar 2013,Apr 2013,May 2013,Jun 2013,Jul 2013,Aug 2013,Sep 2013,Oct 2013,Nov 2013,Dec 2013,Jan 2014,Feb 2014,Mar 2014,Apr 2014,May 2014,Jun 2014,Jul 2014,Aug 2014,Sep 2014,Oct 2014,Nov 2014,Dec 2014,Jan 2015,Feb 2015,Mar 2015,Apr 2015,May 2015,Jun 2015,Jul 2015,Aug 2015,Revenue,Cost of Goods,Gross Profit,Margin,Tax
Fresh beef,0.000000,0.000000,0.000000,0.000000,0.000000,1941.560000,5315.770000,4056.360000,4627.790000,2227.350000,3858.990000,4428.810000,1998.360000,599.710000,5779.197820,2514.350000,2449.990000,2316.180000,2413.030000,1787.110000,2336.720000,1783.510000,4183.800000,0.000000,84.000000,86.000000,0.000000,0.000000,1276.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,56064.587820,40121.950000,15942.637820,0.284362,0.000000
Chemical free beef,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,805.000000,5705.000000,4949.000000,6111.000000,5805.500000,7005.500000,13609.000000,4800.000000,4174.500000,0.000000,0.000000,0.000000,0.000000,84.000000,0.000000,312.000000,53360.500000,37938.540000,15421.960000,0.289015,0.000000
Nuts,0.000000,0.000000,0.000000,0.000000,0.000000,276.880000,1244.340000,1622.090000,1188.980000,1569.540000,1301.840000,1619.480000,1723.400000,325.880000,1226.330000,997.180000,2025.000000,1387.500000,876.250000,862.500000,1263.750000,990.000000,1199.500000,1038.540000,766.060000,1321.120000,2988.715000,1982.650000,2158.280000,2918.540000,379.600000,0.000000,0.000000,192.000000,9176.805000,2337.400000,1616.300000,1874.325228,50450.775228,36859.495000,13591.280228,0.269397,0.000000
Non-dairy milk,0.000000,0.000000,0.000000,0.000000,0.000000,127.600000,2392.500000,1276.000000,2360.600000,2456.300000,2552.000000,988.900000,95.700000,159.500000,2812.340000,1915.200000,436.800000,268.800000,639.250000,177.000000,289.000000,1364.350000,1963.400000,886.000000,1301.600000,780.800000,2880.800000,3559.000000,2243.700000,2444.000000,241.000000,0.000000,0.000000,135.000000,4349.000000,3750.000000,951.250000,1409.750000,47207.140000,37338.900000,9868.240000,0.209041,0.000000
Food supplements,0.000000,0.000000,0.000000,0.000000,0.000000,331.300000,1317.400000,1250.220000,703.500000,1028.700000,1495.600000,941.200000,1218.400000,171.800000,638.175000,1272.350000,687.350000,396.350000,661.250000,941.200000,566.350000,450.650000,696.500000,1226.000000,789.000000,1915.000000,2199.600000,1775.200000,2557.750000,1719.650000,39.000000,0.000000,0.000000,124.000000,6657.300000,2239.194000,2224.491589,2985.500000,41219.980589,31590.180000,9629.800589,0.233620,0.000000
Vegetables,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,498.430000,14740.450000,6854.575000,4822.593342,8172.256577,35088.304919,23076.810000,12011.494919,0.342322,0.000000
Pasta,0.000000,0.000000,0.000000,0.000000,0.000000,41.900000,796.100000,628.500000,838.000000,670.400000,670.400000,502.800000,125.700000,0.000000,1221.750000,756.000000,567.000000,484.200000,1278.950000,810.400000,553.850000,1316.500000,1661.100000,1514.000000,688.000000,1314.100000,2040.000000,2217.000000,1947.950000,1416.000000,397.000000,0.000000,0.000000,0.000000,1661.000000,1948.500000,720.500000,4197.507739,32985.107739,25505.010000,7480.097739,0.226772,0.000000
General,895.000000,455.000000,660.000000,790.000000,1280.000000,170.000000,220.000000,105.000000,70.000000,70.000000,105.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.000000,35.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,720.000000,1170.000000,1215.000000,1680.000000,1484.800000,1511.200000,210.000000,0.000000,0.000000,315.000000,8386.750000,4619.624782,2585.424870,3810.030397,32597.830049,539.250000,32058.580049,0.983457,0.000000
Seeds,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,95.800000,239.500000,239.500000,95.800000,47.900000,0.000000,0.000000,0.000000,367.500000,157.500000,157.500000,55.000000,385.000000,0.000000,55.000000,638.000000,290.000000,930.500000,936.000000,896.550000,2719.027500,2174.720000,2382.190000,1191.480000,525.000000,0.000000,0.000000,195.500000,9814.212000,5127.174000,1459.134021,952.250000,32127.737521,22579.630000,9548.107521,0.297192,0.000000
Fruits,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,436.000000,11528.080000,5995.770000,4346.424874,6541.006573,28847.281447,20230.110000,8617.171447,0.298717,0.000000
Rice,0.000000,0.000000,0.000000,0.000000,0.000000,203.100000,519.100000,480.700000,405.700000,583.300000,646.800000,513.850000,98.800000,89.300000,953.350000,715.200000,652.050000,504.000000,445.950000,294.950000,237.450000,592.200000,1766.100000,1418.000000,1664.250000,1020.000000,1555.000000,1615.000000,1293.000000,1408.000000,317.500000,0.000000,0.000000,96.000000,2484.750000,2204.900000,1460.276382,1439.618221,27678.194603,21443.630000,6234.564603,0.225252,0.000000
Chemical free poultry,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,592.000000,1887.000000,3996.000000,2849.000000,1406.000000,4081.400000,4088.400000,7637.300000,1029.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,27566.100000,22850.840000,4715.260000,0.171053,0.000000
Fresh veal,0.000000,0.000000,0.000000,0.000000,0.000000,1248.000000,936.000000,2184.000000,1560.000000,728.000000,1352.000000,1560.000000,1664.000000,832.000000,2184.000000,936.000000,1144.000000,1248.000000,1560.000000,832.000000,624.000000,1352.000000,2184.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,24128.000000,18480.000000,5648.000000,0.234085,0.000000
Baking products,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,356.000000,4562.000000,3520.800000,4215.500000,11279.200000,23933.500000,18247.310000,5686.190000,0.237583,0.000000
Delivery,0.000000,0.000000,0.000000,0.000000,0.000000,280.000000,1175.000000,1470.000000,1585.000000,1360.000000,1415.000000,1450.000000,815.000000,440.000000,1374.000000,1065.000000,1310.000000,893.761412,1075.000000,845.000000,905.000000,1065.000000,1385.000000,1770.000000,790.000000,210.000000,105.000000,70.000000,210.000000,175.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23237.761412,3200.000000,20037.761412,0.862293,0.000000
Sweeteners,0.000000,0.000000,0.000000,0.000000,0.000000,17.900000,262.000000,161.400000,338.200000,468.100000,367.060000,352.580000,271.560000,187.040000,159.605000,132.360000,88.240000,110.300000,772.800000,305.800000,145.560000,0.000000,82.120000,263.000000,62.000000,123.000000,335.000000,907.000000,1214.000000,1056.000000,159.000000,0.000000,0.000000,447.000000,6676.000000,3677.500474,770.597938,2788.000000,22700.723412,17448.870000,5251.853412,0.231352,0.000000
Snacks,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,378.700000,408.800000,308.300000,167.500000,311.700000,348.600000,107.300000,103.900000,167.850000,393.750000,299.250000,182.250000,120.450000,425.700000,114.500000,94.500000,77.750000,0.000000,72.000000,0.000000,112.000000,248.000000,776.000000,287.000000,0.000000,0.000000,0.000000,1547.000000,6573.000000,2901.550000,901.408100,3463.261702,20892.019802,15078.790000,5813.229802,0.278251,0.000000
Cosmetics,196.430000,171.930000,171.450000,501.340000,777.000000,0.000000,574.800000,247.700000,280.600000,83.800000,83.800000,75.800000,49.900000,0.000000,49.900000,68.250000,0.000000,375.150000,653.750000,224.500000,136.500000,136.500000,178.500000,878.500000,951.000000,789.000000,697.250000,608.000000,1265.250000,1133.000000,260.000000,0.000000,0.000000,120.000000,3604.000000,1425.000000,776.000000,1837.000000,19381.600000,14719.280000,4662.320000,0.240554,0.000000
Chemical free vegetables,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,216.500000,1101.750000,1191.500000,1388.440000,622.760000,1139.000000,1545.750000,2432.420000,4344.920000,3521.220000,1073.310000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18577.570000,14452.190000,4125.380000,0.222062,0.000000
Eggs,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.000000,357.000000,714.000000,882.000000,819.000000,756.000000,503.000000,678.000000,853.000000,1800.200000,2035.600000,325.000000,0.000000,0.000000,44.000000,2273.000000,1778.000000,1124.000000,1856.000000,16839.800000,13181.200000,3658.600000,0.217259,0.000000
Flour,0.000000,0.000000,0.000000,0.000000,0.000000,100.400000,416.250000,282.250000,996.800000,520.050000,778.000000,1059.850000,261.200000,219.300000,674.630000,488.250000,294.000000,269.900000,667.750000,251.750000,196.750000,637.750000,682.250000,483.000000,629.000000,871.000000,841.000000,1271.000000,1586.500000,1247.500000,432.000000,0.000000,0.000000,0.000000,0.000000,324.000000,0.000000,0.000000,16482.130000,13447.670000,3034.460000,0.184106,0.000000
Fish,323.130000,421.890000,694.200000,914.730000,653.400000,124.650000,349.020000,289.440000,354.510000,0.000000,0.000000,0.000000,0.000000,0.000000,453.594600,302.400000,0.000000,151.200000,302.400000,0.000000,0.000000,0.000000,166.000000,1533.000000,905.000000,776.200000,2392.100000,502.500000,2117.200000,1867.400000,451.350000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,16045.314600,12632.340000,3412.974600,0.212708,0.000000
Honey,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6.000000,12.000000,0.000000,24.000000,0.000000,0.000000,3.000000,0.000000,9.000000,12.000000,0.000000,0.000000,3.000000,203.000000,118.000000,12.000000,447.000000,432.000000,390.000000,1074.000000,540.000000,1041.000000,967.900000,944.000000,48.000000,0.000000,0.000000,400.000000,2720.000000,581.100000,504.000000,4555.604396,15046.604396,11206.200000,3840.404396,0.255234,0.000000
Fresh Produce,2427.140000,1715.520000,2433.670000,3174.370000,4261.310000,256.360000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,14268.370000,11103.680000,3164.690000,0.221798,0.000000
,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,180.000000,585.000000,390.000000,800.000000,1410.000000,1700.000000,1720.000000,2060.000000,1860.000000,410.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,11115.000000,600.000000,10515.000000,0.946019,0.000000
Frozen fruits,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,38.000000,524.500000,479.500000,106.000000,986.000000,778.000000,1494.890000,1770.000000,1147.000000,2101.000000,856.000000,714.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10994.890000,8652.330000,2342.560000,0.213059,0.000000
Super foods,850.920000,1581.240000,2041.610000,2697.890000,3807.190000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10978.850000,8954.080000,2024.770000,0.184425,0.000000
Dried Fruits & Nuts,1283.740000,824.790000,1202.160000,1781.840000,2948.240000,263.980000,573.700000,698.730000,600.800000,202.900000,0.000000,65.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.000000,144.000000,36.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10661.880000,7344.860000,3317.020000,0.311110,0.000000
Milk,0.000000,0.000000,0.000000,0.000000,0.000000,63.800000,255.200000,95.700000,574.200000,957.000000,1116.500000,957.000000,63.800000,31.900000,705.600000,268.800000,537.600000,67.200000,0.000000,0.000000,0.000000,8.500000,0.000000,221.000000,221.000000,325.000000,382.500000,104.000000,144.000000,126.000000,28.000000,0.000000,0.000000,42.000000,1558.000000,980.000000,434.000000,322.000000,10590.300000,7844.340000,2745.960000,0.259290,0.000000
Vinegar,0.000000,0.000000,0.000000,0.000000,0.000000,27.900000,167.400000,27.900000,195.300000,111.600000,83.700000,167.400000,0.000000,0.000000,0.000000,210.000000,210.000000,35.000000,315.000000,105.000000,0.000000,0.000000,456.000000,266.000000,329.000000,215.000000,342.000000,1178.000000,932.900000,874.000000,114.000000,0.000000,0.000000,35.000000,1890.000000,560.000000,486.527580,1190.000000,10524.627580,7254.560000,3270.067580,0.310706,0.000000
Accessories,3.000000,0.000000,6.000000,35.000000,32.000000,0.000000,41.400000,0.000000,43.800000,0.000000,65.000000,15.000000,6.900000,0.000000,115.700000,13.800000,0.000000,13.800000,0.000000,71.900000,0.000000,0.000000,0.000000,0.000000,0.000000,342.000000,735.000000,0.000000,165.000000,5832.000000,2850.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10387.300000,8395.250000,1992.050000,0.191777,0.000000
Herbs,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,246.000000,89.000000,300.000000,329.000000,497.000000,288.000000,152.000000,71.000000,204.000000,241.000000,0.000000,175.000000,225.000000,63.000000,114.000000,36.500000,212.500000,615.000000,103.200000,463.400000,1147.060000,838.800000,290.600000,184.600000,35.000000,0.000000,0.000000,11.000000,1331.800000,728.550000,345.300000,328.048826,9665.358826,7407.840000,2257.518826,0.233568,0.000000
Sea Food,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,496.000000,3782.000000,1753.400000,1636.000000,1917.843537,9585.243537,6105.400000,3479.843537,0.363042,0.000000
Veal,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3287.000000,3287.400000,1486.000000,1506.000000,9566.400000,7001.970000,2564.430000,0.268066,0.000000
Spices,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,106.000000,185.500000,79.500000,159.000000,159.000000,132.500000,79.500000,26.500000,181.125000,131.250000,0.000000,0.000000,0.000000,78.000000,191.500000,377.500000,204.000000,478.000000,249.800000,294.600000,873.900000,988.800000,877.700000,724.400000,168.250000,0.000000,0.000000,180.000000,940.150000,594.250000,228.000000,697.863850,9386.588850,6723.070000,2663.518850,0.283758,0.000000
Crackers,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.500000,268.000000,67.000000,0.000000,67.000000,67.000000,0.000000,33.500000,0.000000,110.250000,73.500000,110.250000,0.000000,549.750000,582.500000,195.000000,252.000000,463.000000,379.000000,941.800000,928.350000,953.500000,953.140000,1223.000000,88.000000,0.000000,0.000000,132.000000,132.000000,0.000000,66.000000,0.000000,8669.040000,6847.230000,1821.810000,0.210151,0.000000
Bread,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,369.500000,203.500000,553.725000,705.650000,833.500000,654.750000,498.000000,204.500000,0.000000,0.000000,222.000000,2222.500000,939.600000,255.723711,617.362637,8280.311349,5834.530000,2445.781349,0.295373,0.000000
Grains & Cereal,963.240000,984.830000,977.150000,1904.370000,2577.850000,319.200000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7726.640000,6661.500000,1065.140000,0.137853,0.000000
Herbal pharmacy,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,247.000000,152.000000,509.000000,1279.000000,246.000000,1049.000000,318.000000,241.000000,381.000000,2224.000000,207.000000,320.000000,37.000000,52.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7262.000000,6986.000000,276.000000,0.038006,0.000000
Home appliance,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6253.000000,0.000000,0.000000,0.000000,6253.000000,4663.350000,1589.650000,0.254222,0.000000
spreads,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,95.000000,465.000000,785.000000,2605.000000,1570.000000,645.000000,35.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6200.000000,5096.000000,1104.000000,0.178065,0.000000
Chemical free produce,11.700000,0.000000,0.000000,50.700000,1552.730000,303.750000,547.800000,994.350000,860.910000,649.050000,787.170000,345.300000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6103.460000,4549.450000,1554.010000,0.254611,0.000000
Cookies,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,35.100000,0.000000,71.500000,54.600000,0.000000,60.000000,160.000000,502.000000,509.000000,119.000000,366.100000,452.000000,813.500000,1782.150000,840.500000,54.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5819.450000,4560.770000,1258.680000,0.216288,0.000000
Honey & Sweeteners,274.550000,86.450000,133.950000,510.000000,427.400000,300.000000,537.500000,271.900000,781.500000,187.500000,425.400000,309.400000,37.500000,150.000000,112.500000,131.300000,337.500000,255.000000,105.000000,162.700000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,5537.050000,3841.520000,1695.530000,0.306215,0.000000
Beverages,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,44.000000,44.000000,69.500000,78.000000,156.000000,78.000000,28.000000,396.000000,385.000000,667.700000,512.900000,194.000000,0.000000,0.000000,243.000000,1097.500000,611.000000,133.000000,392.000000,5129.600000,3783.970000,1345.630000,0.262326,0.000000
Juices,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,186.000000,341.000000,485.500000,217.000000,189.000000,0.000000,406.000000,476.000000,200.000000,913.400000,399.000000,143.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3955.900000,3098.490000,857.410000,0.216742,0.000000
cheese,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,60.000000,805.000000,1252.950000,428.500000,295.250000,135.750000,0.000000,0.000000,0.000000,180.000000,300.000000,0.000000,444.000000,3901.450000,3110.100000,791.350000,0.202835,0.000000
