Product,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,Itemcount,Revenue
HUROM SLOW JUICER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,14800.0
AVOCADOS (IMPORTED),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,25.0,48.0,54.0,56.0,73.0,46.0,8.0,0.0,0.0,0.0,88.0,31.0,8.0,468.0,13628.2998046875
AVOCADO,0.0,0.0,0.0,5.0,8.0,5.0,8.0,11.0,10.0,23.0,21.0,30.0,17.0,36.0,32.0,8.0,12.0,23.0,13.0,19.0,8.0,9.0,7.0,9.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.0,13618.205444335938
BEEF CUBES (CHEMICAL FREE) - FROZEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,15.0,10.0,21.0,43.0,23.0,6.0,0.0,0.0,3.0,43.0,47.0,3.0,249.0,13572.0
BALADY EGGS (CHEMICAL FREE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0,34.0,42.0,39.0,36.0,23.0,10.0,20.0,86.0,94.0,16.0,0.0,0.0,2.0,107.0,73.0,30.0,631.0,13541.799987792969
BEEF MINCE (CHEMICAL FREE) - FROZEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,28.0,45.0,39.0,37.0,64.0,10.0,11.0,0.0,0.0,0.0,4.0,24.0,0.0,275.0,13094.0
BENCH PRESS OATS WITH APPLE AND CINNAMON ( WITH WHEY PROTEIN ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14.0,6.0,4.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,190.0,293.0,103.0,644.0,12820.9599609375
UNSWEETENED ALMOND MILK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,67.0,30.0,10.0,1.0,0.0,0.0,3.0,105.0,102.0,18.0,363.0,12266.9501953125
CAIRO,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,78.0,81.0,112.0,96.0,100.0,14.0,0.0,0.0,7.0,186.0,71.0,33.0,834.0,12095.0
CHIA SEEDS (ORGANIC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,66.0,62.0,6.0,142.0,11745.0556640625
PURE OATS ( GLUTEN FREE ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,158.0,61.0,8.0,283.0,11611.1142578125
MUESLI WITH QUINOA AMARANTH APPLE SEEDS AND NUTS ( GLUTEN FREE ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,3.0,3.0,12.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,89.0,41.0,226.0,11440.18505859375
CHICKEN CUTLETS (SHISHTAWOOK),0.0,0.0,0.0,17.0,0.0,1.0,28.0,5.0,0.0,4.0,7.0,10.0,6.0,5.0,8.0,3.0,0.0,6.0,2.0,2.0,1.0,1.0,4.0,2.0,3.0,3.0,13.0,7.0,5.0,3.0,8.0,7.0,7.0,7.0,0.0,0.0,0.0,31.0,24.0,11.0,241.0,11417.800048828125
BEEF MINCE - NO FAT (CHEMICAL FREE) - FROZEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,58.0,33.0,189.0,11207.130859375
BALADY WHOLE CHICKEN(CHEMICAL FREE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,23.0,11.0,0.0,0.0,5.0,157.0,-1.0,3.0,238.0,11072.300048828125
OSOOL BEGAWI CHICKEN ( FROZEN ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,51.0,108.0,77.0,38.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,11026.0
BEEF CUTLETS,0.0,0.0,0.0,18.0,2.0,2.0,2.0,4.0,8.0,12.0,8.0,7.0,2.0,7.0,8.0,4.0,1.0,5.0,3.0,2.0,8.0,8.0,5.0,17.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,10828.619873046877
SALMON STEAK,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8899999856948853,2.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,25.0,6.0,0.0,0.0,8.0,49.0,26.0,22.0,167.8899998664856,10818.039794921877
QUINOA (WHITE) - ORGANIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,80.0,26.0,25.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,10419.41015625
MUESLI WITH MIXED BERRIES OAT FLAKES AND SEEDS (ORGANIC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,66.0,107.0,35.0,210.0,10412.0751953125
GRANOLA WITH FRUITS AND SEEDS ( GLUTEN FREE ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,6.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,210.0,6.0,0.0,256.0,10289.9443359375
BEEF ESCALOPE (CHEMICAL FREE) - FROZEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,8.0,13.0,2.0,19.0,34.0,7.0,17.0,0.0,0.0,0.0,42.0,27.0,3.0,184.0,10150.7998046875
RAW ALMONDS SHELLED,0.0,0.0,0.0,8.0,5.0,5.0,11.0,20.0,3.0,18.0,13.0,15.0,12.0,11.0,14.0,15.0,3.0,13.0,11.0,14.0,11.0,4.0,4.0,9.0,4.0,8.0,11.0,6.0,12.0,22.0,15.0,18.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,345.0,9882.104736328123
RAW PECAN,0.0,3.0,0.0,1.0,2.0,7.0,2.0,8.0,4.0,4.0,9.0,7.0,11.0,6.0,6.0,6.0,0.0,5.0,1.0,11.0,5.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,5.0,16.0,8.0,8.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,159.0,9638.450424194336
ALMOND MILK ( ORGANIC ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,40.0,20.0,40.0,41.0,46.0,9.0,0.0,0.0,57.0,30.0,0.0,0.0,2.0,0.0,0.0,13.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.0,9630.33984375
DRIED BLUEBERRIES,0.0,0.0,0.0,3.0,1.0,2.0,10.0,7.0,2.0,8.0,15.0,5.0,10.0,5.0,6.0,6.0,2.0,19.0,7.0,11.0,8.0,3.0,4.0,9.0,6.0,0.0,6.0,0.0,2.0,4.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,9445.620483398438
SKINNY OATS WITH BERRIES AND GREEN TEA EXTRACT ( FOR WEIGHT LOSS ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,21.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,88.0,251.0,102.0,514.0,9403.42578125
APPLE CIDER VINEGAR ( ORGANIC ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,7.0,4.0,3.0,6.0,0.0,0.0,0.0,6.0,6.0,1.0,9.0,3.0,0.0,0.0,12.0,7.0,8.0,5.0,9.0,31.0,25.0,23.0,3.0,0.0,0.0,1.0,54.0,16.0,12.0,259.0,9215.989501953123
KALE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,64.0,52.0,50.0,89.0,42.0,53.0,45.0,59.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,476.0,9203.0
GOJI BERRIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,7.0,10.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,36.0,66.0,6.0,156.0,8787.171875
BROWN RICE PENNE ( AMERICAN ) - GLUTEN FREE - ORGANIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,7.0,6.0,7.0,6.0,1.0,0.0,12.0,8.0,4.0,5.0,5.0,4.0,2.0,4.0,11.0,6.0,0.0,0.0,19.0,29.0,11.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,8396.150390625
OAT MILK ( ORGANIC ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,13.0,18.0,23.0,21.0,22.0,1.0,4.0,22.0,26.0,12.0,6.0,1.0,0.0,0.0,7.0,30.0,3.0,0.0,1.0,12.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,8335.25
TOP SIDE STEAK (CHEMICAL FREE) - FROZEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,10.0,7.0,12.0,12.0,19.0,2.0,0.0,0.0,0.0,47.0,19.0,7.0,146.0,7954.0
RAW SUNFLOWER SEED SHELLED,0.0,0.0,0.0,1.0,1.0,3.0,1.0,7.0,0.0,2.0,5.0,5.0,2.0,1.0,0.0,0.0,0.0,7.0,3.0,3.0,1.0,7.0,0.0,1.0,11.0,5.0,0.0,0.0,0.0,7.0,14.0,17.0,5.0,0.0,0.0,0.0,2.0,24.0,1.0,3.0,139.0,7869.814025878906
QUINOA (CHEMICAL FREE) - EGYPTIAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,62.0,13.0,5.0,0.0,0.0,4.0,41.0,31.0,7.0,171.0,7784.52001953125
MUESLI WITH BRANBERRY AND STRAWBERRIES ( ORGANIC ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,3.0,1.0,7.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,109.0,42.0,244.0,7573.186279296875
CHIA SEEDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,8.0,7.0,28.0,18.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,7483.46728515625
RAW CASHEW NUT,0.0,0.0,0.0,4.0,3.0,4.0,4.0,17.0,4.0,9.0,15.0,6.0,8.0,12.0,11.0,11.0,2.0,10.0,5.0,13.0,4.0,5.0,4.0,4.0,2.0,3.0,4.0,2.0,8.0,15.0,12.0,10.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,222.0,7358.0001220703125
BROWN RICE ( EGYPTIAN ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,14.0,16.0,7.0,20.0,19.0,8.0,4.0,10.0,3.0,8.0,3.0,9.0,17.0,13.0,12.0,7.0,28.0,36.0,50.0,52.0,63.0,75.0,75.0,24.0,0.0,0.0,0.0,100.0,43.0,15.0,751.0,7119.4500732421875
BEEF STRIPS (CHEMICAL FREE) - FROZEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,9.0,7.0,12.0,7.0,22.0,13.0,6.0,0.0,0.0,0.0,31.0,20.0,0.0,134.0,7006.39990234375
MAPLE SYRUP (ORGANIC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,46.0,20.0,2.0,71.0,6783.0986328125
BEEF ESCALOPE,0.0,0.0,0.0,8.0,1.0,7.0,4.0,4.0,2.0,6.0,3.0,4.0,1.0,5.0,4.0,0.0,1.0,3.0,3.0,3.0,4.0,6.0,4.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,6708.7999267578125
VEAL PICATTA,0.0,0.0,0.0,6.0,0.0,2.0,2.0,4.0,2.0,1.0,8.0,4.0,1.0,5.0,2.0,7.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,6627.5999755859375
VEAL CUTLETS (KABBAB 7ALA),0.0,0.0,0.0,4.0,1.0,0.0,3.0,10.0,4.0,4.0,4.0,3.0,0.0,1.0,1.0,4.0,3.0,1.0,0.0,6.0,2.0,2.0,2.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,6619.0
WHEY PROTEIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,3.0,5.0,1.0,2.0,0.0,1.0,5.0,3.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,6597.85009765625
RAW WALNUT - SHELLED,0.0,0.0,0.0,7.0,3.0,4.0,3.0,19.0,2.0,12.0,15.0,5.0,9.0,2.0,7.0,3.0,3.0,3.0,6.0,3.0,9.0,1.0,2.0,4.0,2.0,4.0,4.0,3.0,5.0,12.0,3.0,4.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,176.0,6244.2501220703125
HAMBURGER (CHEMICAL FREE) - FROZEN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15.0,13.0,20.0,21.0,32.0,14.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,137.0,5990.0
BROWN RICE SPAGHETTI ( AMERICAN ) - GLUTEN FREE - ORGANIC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,6.0,4.0,6.0,5.0,1.0,0.0,2.0,6.0,4.0,2.0,7.0,3.0,2.0,4.0,12.0,11.0,0.0,0.0,5.0,8.0,18.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,5982.14990234375
SHORT GRAIN BROWN RICE ( ORGANIC ) - ECO FARMED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,3.0,5.0,11.0,5.0,5.0,0.0,0.0,7.0,5.0,5.0,4.0,0.0,0.0,1.0,12.0,9.0,13.0,0.0,0.0,7.0,11.0,4.0,8.0,0.0,0.0,0.0,0.0,20.0,21.0,4.0,169.0,5960.5
COCONUT OIL ( SMALL GLASS JAR ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,22.0,3.0,0.0,0.0,0.0,0.0,4.0,11.0,0.0,51.0,5813.10009765625
VEAL SHANKS (MOWAZ),0.0,0.0,0.0,10.0,0.0,2.0,1.0,3.0,1.0,4.0,5.0,0.0,3.0,4.0,4.0,8.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,5667.300048828125
CARROT  (ORGANIC),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,19.0,30.0,32.0,60.0,68.0,61.0,35.0,17.0,0.0,0.0,1.0,86.0,14.0,0.0,439.0,5661.0
ALL PURPOSE BAKING FLOUR (GLUTEN FREE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,5.0,9.0,2.0,7.0,1.0,0.0,0.0,12.0,3.0,5.0,2.0,2.0,0.0,1.0,7.0,6.0,8.0,9.0,5.0,0.0,0.0,7.0,7.0,4.0,0.0,0.0,0.0,1.0,12.0,3.0,121.0,5637.829986572266
BASMATI BROWN RICE ( ORGANIC ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,2.0,4.0,7.0,3.0,0.0,1.0,8.0,6.0,5.0,8.0,2.0,0.0,1.0,0.0,12.0,8.0,6.0,10.0,10.0,12.0,7.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,5634.2998046875
WHOLE CHICKEN (CHEMICAL FREE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,7.0,62.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,115.0,5581.89990234375
STEVIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,17.0,15.0,1.0,0.0,0.0,0.0,21.0,13.0,3.0,92.0,5414.3999938964835
BANANA,0.0,0.0,0.0,20.0,10.0,14.0,18.0,20.0,5.0,14.0,18.0,25.0,17.0,30.0,32.0,16.0,14.0,21.0,15.0,26.0,20.0,13.0,9.0,15.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391.0,5369.983276367188
MUSHROOM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,19.0,35.0,16.0,19.0,16.0,13.0,10.0,15.0,12.0,10.0,9.0,16.0,11.0,14.0,11.0,13.0,23.0,14.0,21.0,37.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,7.0,9.0,414.0,5224.93017578125
PUMPKIN SEEDS,0.0,3.0,0.0,4.0,1.0,2.0,8.0,14.0,2.0,9.0,17.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,19.0,10.0,22.0,22.0,30.0,26.0,40.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,256.0,5075.879804611206
