name,description, S.Price ,In stock, Offah.com Price ,Offah.com In Stock, Gourmetegypt.com Price ,Gourmetegypt In Stock, Healthharveststore.com Price ,Healthharveststore.com In Stock,Imtenan.com Price,Imtenan.com In Stock,Knockmart.com Prices,Knockmart.com In Stock,Beqala.com Prices,Beqala.com In Stock,Average Competitor Prices,Availability @ Others
ORGANICBROWNRICEELBOWPASTA340G,340g,45.0,1,0,0,0,0,45,1,0.0,0,0,0,0.0,0,45.0,1.0
LIMECHEMICALFREE,250g,9.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
BEDOUINLAMBLEGCHEMICALFREE,Per piece 2.2 - 2.5 kg,266.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
COOKIESWITHWHEATGERM,"100 g
<p><span style=""font-family: 'Courier New'; font-size: 13px;"">A fine and very tasty blend of Wheat Germ, Bee Honey Barley</span><br style=""font-family: 'Courier New'; font-size: 13px;"" /><span style=""font-family: 'Courier New'; font-size: 13px;"">and pure chocolate among other ingredients.</span><br style=""font-family: 'Courier New'; font-size: 13px;"" /><span style=""font-family: 'Courier New'; font-size: 13px;"">Very tasty, nutritious and filling.? It is a blessing when you</span><br style=""font-family: 'Courier New'; font-size: 13px;"" /><span style=""font-family: 'Courier New'; font-size: 13px;"">can enjoy a delicious snack with no sense of guilt at all.</span></p>",20.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
EXTRAVIRGINSESAMEOILORGANIC473ML,473ml,85.0,1,0,0,111.63,1,85,1,0.0,0,0,0,0.0,0,98.315,1.0
BANANASCHEMICALFREE,1 KG Balaika Bananas,16.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
BEEFLIVERCHEMICALFREEFROZEN,500 g,68.0,1,45,1,0,0,0,0,35.87,1,0,0,0.0,0,40.435,1.0
PANCAKEMIXGLUTENFREE623G,623g,50.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
TURKEY,7-8kg,374.4,0,0,0,324,1,0,0,0.0,0,0,0,0.0,0,324.0,1.0
WHEATGERMMIRACLE,400g,53.0,1,0,0,55,1,0,0,0.0,0,0,0,0.0,0,55.0,1.0
BAKINGSODA453G,453g,30.0,1,0,0,117.78,1,30,1,48.0,1,0,0,0.0,0,65.26,1.0
MUESLIWITHSEEDSANDNUTSMADEFROMSCOTTISHOATSGLUTENFREE,0,54.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
REDPLUMSIMPORTED,Punnet 500g,30.0,1,38.5,1,0,0,0,0,0.0,0,0,0,0.0,0,38.5,1.0
BROCCOLICHEMICALFREE,500g,8.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
KALECHEMICALFREE,100g,22.0,1,0,0,20,0,0,0,0.0,0,0,0,0.0,0,20.0,0.0
TOASTGLUTENFREE,0,25.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
BEDOUINLAMBBEITKALAWICHEMICALFREE,500 g,65.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
TOFU,297g,50.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
BROWNRICEFLOURGLUTENFREE,680g,40.0,1,0,0,0,0,40,1,0.0,0,0,0,0.0,0,40.0,1.0
MUESLIWITHGOJIBERRIESANDCRANBERRIESGLUTENFREE,0,57.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
BLACKBERRIESFROZEN,300g,59.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
BREADSTICKSGLUTENFREE,150g,44.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
QUINOAFLOURGLUTENFREE,623g,168.0,1,0,0,0,0,165,1,0.0,0,0,0,0.0,0,165.0,1.0
VEALLIVERCHEMICALFREEFROZEN,500g,90.0,0,0,0,21,0,0,0,0.0,0,0,0,0.0,0,21.0,0.0
CHICKENTHIGH,1 kg,37.0,1,32,1,81.66,1,0,0,0.0,0,0,0,22.9,1,45.52,1.0
RAWPERUVIANCACAOORGANIC,0,68.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
SHORTGRAINBROWNRICEORGANICECOFARMED,907g,37.5,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
FUSILLIGLUTENFREE,250g,25.0,0,0,0,52,1,0,0,0.0,0,0,0,0.0,0,52.0,1.0
FRESHGINGERIMPORTED,250g,10.5,1,14,1,12.5,0,0,0,0.0,0,0,0,0.0,0,13.25,1.0
ALMONDMEALFLOUR,453g,132.0,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,1.0
VEALCUTLETSCHEMICALFREEFROZEN,500g,104.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
DRIEDPRUNEWITHPITS250G,250g,24.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
GREENBEANS,500g,8.0,0,5,1,10,0,0,0,0.0,0,0,0,3.55,1,6.183333333333334,1.0
BALADYBREADWHOLEGRAIN,2 big loafs,10.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
SWEETPOTATOESCHEMICALFREE,500g,24.0,1,0,0,6,0,0,0,0.0,0,0,0,0.0,0,6.0,0.0
ALLPURPOSEBAKINGFLOURGLUTENFREE,623g,48.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
DRIEDTURKISHFIGS250G,250g,13.0,1,0,0,17.5,1,0,0,0.0,0,0,0,0.0,0,17.5,1.0
PEARSAMERICANIMPORTED,500g,22.0,0,0,0,27,1,0,0,0.0,0,0,0,0.0,0,27.0,1.0
STEELCUTOATS,680g,66.0,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,1.0
PSYLLIUMHUSK,125g,64.8,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
OATSWITHAPPLEANDCINNAMONORGANIC,0,36.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
SHEEPMILKCHEESE,150g,60.0,1,0,0,51,1,0,0,0.0,0,0,0,0.0,0,51.0,1.0
REDGRAPESSEEDLESSORGANIC,500g,28.0,0,0,0,22,0,0,0,0.0,0,0,0,0.0,0,22.0,0.0
BROWNRICEEGYPTIAN,"500gm
<p>Kheir Misr 100% natural Brown RiceThe reason brown rice has many more nutrients than regular white rice and people in many countries have started replacing white rice with brown rice, is due to the fact that brown rice has only the outer layer, called the hull, removed while white rice has been completely polished and refined . The process to change natural or brown rice to white rice destroys most its nutrients, yet manufacturers still do it for convenience as it makes rice store longer and easier. Next time you start feeling sluggish; reach for brown rice as a source of energy. Brown rice has more than 80% of your daily value of manganese, which gives you energy from both carbs and protein. Manganese also helps synthesize fatty acids, which keeps your nervous system in working order. The fiber in brown rice produces the best health benefit of all; fat burning! In addition to requiring more of your body to break it down, the fiber in brown rice helps satisfy your appetite and therefore decreasing your chances of overeating. That is the equation for fat loss; eat less and burn more! The fiber and selenium found in brown rice can also reduce your risk of many types of cancer, which I?d say is a health benefit we could all use. Finally, Omega oils found in brown rice can help lower cholesterol, which according to research, we eat too much of already. When you cook brown rice, you would need to soak it in water for around 25 minutes to 30 minutes before doing the normal cooking process.?</p>",9.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
PUMPKINSEEDS100G,100G,18.0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
SOYLECITIHINGRANULES453G,453G,108.0,1,0,0,0,0,0,1,0.0,0,0,0,0.0,0,0.0,1.0
PSYLLIUMSEEDS300G,300G,30.0,1,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0,0.0
CHOCOLATECHIPCOOKIEMIXGLUTENFREE453G,453G,60.0,1,0,0,0,0,35,1,0.0,0,0,0,0.0,0,35.0,1.0
