name,description, S.Price ,In stock, Offah.com Price ,Offah.com In Stock, Gourmetegypt.com Price ,Gourmetegypt In Stock, Healthharveststore.com Price ,Healthharveststore.com In Stock,Imtenan.com Price,Imtenan.com In Stock,Knockmart.com Prices,Knockmart.com In Stock,Beqala.com Prices,Beqala.com In Stock,Average Competitor Prices
MUSHROOM,0,22.0,Yes,15,Yes,12.5,Yes,0,0,0.0,0,0,0,14.5,Yes,14.0
STEVIA,35g,60.0,Yes,0,0,0,0,60,Yes,0.0,0,0,0,0.0,0,60.0
TOMATOCHEMICALFREE,500g,9.0,Yes,9.75,Yes,0,0,0,0,0.0,0,0,0,0.0,0,9.75
WILDRICEORGANIC227G,227g,85.0,Yes,0,0,0,0,85,Yes,0.0,0,0,0,0.0,0,85.0
BROWNRICEROTINIAMERICANGLUTENFREEORGANIC284G,284g,49.0,Yes,0,0,0,0,45,Yes,0.0,0,0,0,0.0,0,45.0
OATSWITHSPIRULINAANDBARLEYGRASSORGANIC?SUPERFOOD,0,34.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
CUCUMBERCHEMICALFREE,500g,7.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
OATSWITHMACAANDCOCOAORGANIC?SUPERFOOD,0,34.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
SWEETPINEAPPLES,Per piece,46.0,No,0,0,29.9,No,0,0,0.0,0,0,0,0.0,0,29.9
UNSWEETENEDSOYMILKORGANIC946ML,946 ml,30.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
RAWPISTACHIO250G,250g,63.0,Yes,0,0,0,0,0,0,0.0,0,0,0,39.35,Yes,39.35
SPANISHEXTRAVIRGINOLIVEOILORGANIC473G,473ml,85.0,Yes,0,0,0,0,80,Yes,0.0,0,0,0,0.0,0,80.0
CHICKENBREASTSCHEMICALFREE,1 kg,66.0,No,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
BERRYMIXFROZEN,300g,59.0,Yes,0,0,33,Yes,0,0,0.0,0,0,0,0.0,0,33.0
SEASALTPOTUGESEFINEGRIND453G,453g,30.0,Yes,0,0,0,0,30,Yes,0.0,0,0,0,0.0,0,30.0
CAMELMILKFROZEN,"450ml
<p>100% natural milk?</p>

<p>Camels are Local grain and grass fed</p>

<p>frozen</p>",14.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
BALADYEGGSORGANIC,10 piece,24.0,Yes,0,0,0,0,0,0,0.0,0,0,0,16.0,Yes,16.0
MIXEDNUTSTRAILMIX,250g,58.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
KIWI,per piece,4.0,Yes,2.75,Yes,3,Yes,0,0,0.0,0,0,0,0.0,0,2.875
CHICKENCUTLETSSHISHTAWOOK,"
<tbody>

<tr>

<td style=""padding-top: 0cm; padding-right: 9.0pt; padding-bottom: 0cm; padding-left: 9.0pt;"">

<p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; text-align: justify;""><span style=""font-family: 'Arial','sans-serif'; mso-ascii-theme-font: minor-bidi; mso-fareast-font-family: 'Times New Roman'; mso-hansi-theme-font: minor-bidi; mso-bidi-font-family: Arial; mso-bidi-theme-font: minor-bidi;"">Kheir Misr Poultry (Price per Kg before preparation)</span></p>

<p class=""MsoNormal"" style=""margin-bottom: 0.0001pt; text-align: justify;"">?</p>

<p style=""margin: 0cm 0cm 0.0001pt; text-align: justify; vertical-align: baseline; background-position: initial initial; background-repeat: initial initial;""><span style=""font-size: 11.0pt; font-family: 'Arial','sans-serif'; mso-ascii-theme-font: minor-bidi; mso-hansi-theme-font: minor-bidi; mso-bidi-theme-font: minor-bidi;"">We are proud to provide you with the highest quality, most juicy and tender local Egyptian poultry. We follow very high hygiene and animal welfare standards, our chicken are free range grain fed</span></p>

<p style=""margin: 0cm 0cm 0.0001pt; text-align: justify; vertical-align: baseline; background-position: initial initial; background-repeat: initial initial;""><span style=""font-size: 11.0pt; font-family: 'Arial','sans-serif'; mso-ascii-theme-font: minor-bidi; mso-hansi-theme-font: minor-bidi; mso-bidi-theme-font: minor-bidi;"">.</span></p>

<p style=""margin: 0cm 0cm 0.0001pt; text-align: justify; vertical-align: baseline; background-position: initial initial; background-repeat: initial initial;""><span style=""font-size: 11.0pt; font-family: 'Arial','sans-serif'; mso-ascii-theme-font: minor-bidi; mso-hansi-theme-font: minor-bidi; mso-bidi-theme-font: minor-bidi;"">The slaughter process is done according the Islamic shariaa and international hygiene standards are applied starting from the slaughter process, up to the delivery to your door step.?</span></p>

<p style=""margin: 0cm 0cm 0.0001pt; text-align: justify; vertical-align: baseline; background-position: initial initial; background-repeat: initial initial;""><span style=""font-size: 11.0pt; font-family: 'Arial','sans-serif'; mso-ascii-theme-font: minor-bidi; mso-hansi-theme-font: minor-bidi; mso-bidi-theme-font: minor-bidi;"">?</span></p>

<p style=""margin: 0cm 0cm 0.0001pt; text-align: justify; vertical-align: baseline; background-position: initial initial; background-repeat: initial initial;""><span style=""font-size: 11.0pt; font-family: 'Arial','sans-serif'; mso-ascii-theme-font: minor-bidi; mso-hansi-theme-font: minor-bidi; mso-bidi-theme-font: minor-bidi;"">The meat is refrigerated at all times, our chefs clean and prepare the meat for you to cook straight away minimizing your effort, time, and cost.</span></p>

<p style=""margin: 0cm 0cm 0.0001pt; text-align: justify; vertical-align: baseline; background-position: initial initial; background-repeat: initial initial;""><span style=""font-size: 11.0pt; font-family: 'Arial','sans-serif'; mso-ascii-theme-font: minor-bidi; mso-hansi-theme-font: minor-bidi; mso-bidi-theme-font: minor-bidi;"">?</span></p>

<p style=""margin: 0cm 0cm 0.0001pt; text-align: justify; vertical-align: baseline; background-position: initial initial; background-repeat: initial initial;""><span style=""font-size: 11.0pt; font-family: 'Arial','sans-serif'; mso-ascii-theme-font: minor-bidi; mso-hansi-theme-font: minor-bidi; mso-bidi-theme-font: minor-bidi;"">At NGS we care about you and your loved ones, we make sure you consistently get high quality meat free from any unnatural or dangerous chemicals.?</span></p>

</td>

</tr>

</tbody>

</table>",67.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
AVOCADOSIMPORTED,500gm,32.0,Yes,21.75,Yes,11.25,Yes,0,0,0.0,0,0,0,0.0,0,16.5
FLAXOIL,236ml,69.0,Yes,0,0,46.25,Yes,70,Yes,0.0,0,0,0,0.0,0,58.125
VEALESCALOPECHEMICALFREEFROZENFROZEN,500g,92.0,Yes,0,No,0,0,0,0,0.0,0,0,0,0.0,0,0.0
COCONUTFLOUR,453g,85.0,Yes,0,0,0,0,85,Yes,0.0,0,0,0,0.0,0,85.0
MELON,1kg,14.0,Yes,12.33,Yes,0,0,0,0,0.0,0,0,0,0.0,0,12.33
HOMEMADEBREADMIXGLUTENFREE453G,453g,56.0,Yes,0,0,0,0,60,Yes,0.0,0,0,0,0.0,0,60.0
MIXEDNUTS,250g,59.0,Yes,0,0,56.25,No,0,0,0.0,0,0,0,0.0,0,56.25
BANANASIMPORTED,1Kg,22.0,No,16.5,Yes,19,Yes,0,0,0.0,0,0,0,0.0,0,17.75
SMOKEDSALMONFROZEN,200g Frozen,68.0,Yes,0,0,82,Yes,0,0,0.0,0,0,0,0.0,0,82.0
DRIEDAPRICOTS250G,250g,22.0,Yes,0,0,24.16,Yes,0,0,0.0,0,0,0,15.26,Yes,19.71
MEDJOULDATES,330g,36.0,No,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
MANUKAHONEY,250g,200.0,No,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
APPLECIDERVINEGARORGANIC,473g,35.0,Yes,0,0,0,0,35,Yes,0.0,0,0,0,0.0,0,35.0
RASPBERRIESFROZEN,300g,68.75,Yes,0,0,34.5,Yes,0,0,0.0,0,0,0,73.0,Yes,53.75
REDAPPLESAMERICAN,1 kg,28.0,Yes,28,Yes,22,Yes,0,0,0.0,0,0,0,0.0,0,25.0
GREENAPPLESFRENCHIMPORTED,1kg,31.0,Yes,26,Yes,26,Yes,0,0,0.0,0,0,0,0.0,0,26.0
ORANGES,1 Kg,8.0,No,6.75,Yes,6.5,Yes,0,0,0.0,0,0,0,0.0,0,6.625
SPIRULINAPOWDERORGANIC,113g,124.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
BABYSPINACHCHEMICALFREE,250g,8.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
POTATOESCHEMICALFREE,500g,5.0,Yes,4.65,Yes,6,Yes,0,0,0.0,0,0,0,0.0,0,5.325
BALADYRAWHONEY,500g Jar-Balady product from Egyptian-Italian bee variety (Apis mellifera),35.0,No,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
ORGANICBROWNRICEELBOWPASTA340G,340g,45.0,Yes,0,0,0,0,45,Yes,0.0,0,0,0,0.0,0,45.0
LIMECHEMICALFREE,250g,9.0,No,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
BEDOUINLAMBLEGCHEMICALFREE,Per piece 2.2 - 2.5 kg,266.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
COOKIESWITHWHEATGERM,"100 g
<p><span style=""font-family: 'Courier New'; font-size: 13px;"">A fine and very tasty blend of Wheat Germ, Bee Honey Barley</span><br style=""font-family: 'Courier New'; font-size: 13px;"" /><span style=""font-family: 'Courier New'; font-size: 13px;"">and pure chocolate among other ingredients.</span><br style=""font-family: 'Courier New'; font-size: 13px;"" /><span style=""font-family: 'Courier New'; font-size: 13px;"">Very tasty, nutritious and filling.? It is a blessing when you</span><br style=""font-family: 'Courier New'; font-size: 13px;"" /><span style=""font-family: 'Courier New'; font-size: 13px;"">can enjoy a delicious snack with no sense of guilt at all.</span></p>",20.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
EXTRAVIRGINSESAMEOILORGANIC473ML,473ml,85.0,Yes,0,0,111.63,Yes,85,Yes,0.0,0,0,0,0.0,0,98.315
BANANASCHEMICALFREE,1 KG Balaika Bananas,16.0,No,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
BEEFLIVERCHEMICALFREEFROZEN,500 g,68.0,Yes,45,Yes,0,0,0,0,35.87,Yes,0,0,0.0,0,40.435
PANCAKEMIXGLUTENFREE623G,623g,50.0,No,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
TURKEY,7-8kg,374.4,No,0,0,324,Yes,0,0,0.0,0,0,0,0.0,0,324.0
WHEATGERMMIRACLE,400g,53.0,Yes,0,0,55,Yes,0,0,0.0,0,0,0,0.0,0,55.0
BAKINGSODA453G,453g,30.0,Yes,0,0,117.78,Yes,30,Yes,48.0,Yes,0,0,0.0,0,65.26
MUESLIWITHSEEDSANDNUTSMADEFROMSCOTTISHOATSGLUTENFREE,0,54.0,No,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
REDPLUMSIMPORTED,Punnet 500g,30.0,Yes,38.5,Yes,0,0,0,0,0.0,0,0,0,0.0,0,38.5
BROCCOLICHEMICALFREE,500g,8.0,No,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
KALECHEMICALFREE,100g,22.0,Yes,0,0,20,No,0,0,0.0,0,0,0,0.0,0,20.0
TOASTGLUTENFREE,0,25.0,No,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
BEDOUINLAMBBEITKALAWICHEMICALFREE,500 g,65.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
TOFU,297g,50.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
BROWNRICEFLOURGLUTENFREE,680g,40.0,Yes,0,0,0,0,40,Yes,0.0,0,0,0,0.0,0,40.0
MUESLIWITHGOJIBERRIESANDCRANBERRIESGLUTENFREE,0,57.0,No,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
BLACKBERRIESFROZEN,300g,59.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
BREADSTICKSGLUTENFREE,150g,44.0,No,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
QUINOAFLOURGLUTENFREE,623g,168.0,Yes,0,0,0,0,165,Yes,0.0,0,0,0,0.0,0,165.0
VEALLIVERCHEMICALFREEFROZEN,500g,90.0,No,0,0,21,No,0,0,0.0,0,0,0,0.0,0,21.0
CHICKENTHIGH,1 kg,37.0,Yes,32,Yes,81.66,Yes,0,0,0.0,0,0,0,22.9,Yes,45.52
RAWPERUVIANCACAOORGANIC,0,68.0,No,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
SHORTGRAINBROWNRICEORGANICECOFARMED,907g,37.5,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
FUSILLIGLUTENFREE,250g,25.0,No,0,0,52,Yes,0,0,0.0,0,0,0,0.0,0,52.0
FRESHGINGERIMPORTED,250g,10.5,Yes,14,Yes,12.5,No,0,0,0.0,0,0,0,0.0,0,13.25
ALMONDMEALFLOUR,453g,132.0,Yes,0,0,0,0,0,Yes,0.0,0,0,0,0.0,0,0.0
VEALCUTLETSCHEMICALFREEFROZEN,500g,104.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
DRIEDPRUNEWITHPITS250G,250g,24.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
GREENBEANS,500g,8.0,No,5,Yes,10,No,0,0,0.0,0,0,0,3.55,Yes,6.183333333333334
BALADYBREADWHOLEGRAIN,2 big loafs,10.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
SWEETPOTATOESCHEMICALFREE,500g,24.0,Yes,0,0,6,No,0,0,0.0,0,0,0,0.0,0,6.0
ALLPURPOSEBAKINGFLOURGLUTENFREE,623g,48.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
DRIEDTURKISHFIGS250G,250g,13.0,Yes,0,0,17.5,Yes,0,0,0.0,0,0,0,0.0,0,17.5
PEARSAMERICANIMPORTED,500g,22.0,No,0,0,27,Yes,0,0,0.0,0,0,0,0.0,0,27.0
STEELCUTOATS,680g,66.0,Yes,0,0,0,0,0,Yes,0.0,0,0,0,0.0,0,0.0
PSYLLIUMHUSK,125g,64.8,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
OATSWITHAPPLEANDCINNAMONORGANIC,0,36.0,No,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
SHEEPMILKCHEESE,150g,60.0,Yes,0,0,51,Yes,0,0,0.0,0,0,0,0.0,0,51.0
REDGRAPESSEEDLESSORGANIC,500g,28.0,No,0,0,22,No,0,0,0.0,0,0,0,0.0,0,22.0
BROWNRICEEGYPTIAN,"500gm
<p>Kheir Misr 100% natural Brown RiceThe reason brown rice has many more nutrients than regular white rice and people in many countries have started replacing white rice with brown rice, is due to the fact that brown rice has only the outer layer, called the hull, removed while white rice has been completely polished and refined . The process to change natural or brown rice to white rice destroys most its nutrients, yet manufacturers still do it for convenience as it makes rice store longer and easier. Next time you start feeling sluggish; reach for brown rice as a source of energy. Brown rice has more than 80% of your daily value of manganese, which gives you energy from both carbs and protein. Manganese also helps synthesize fatty acids, which keeps your nervous system in working order. The fiber in brown rice produces the best health benefit of all; fat burning! In addition to requiring more of your body to break it down, the fiber in brown rice helps satisfy your appetite and therefore decreasing your chances of overeating. That is the equation for fat loss; eat less and burn more! The fiber and selenium found in brown rice can also reduce your risk of many types of cancer, which I?d say is a health benefit we could all use. Finally, Omega oils found in brown rice can help lower cholesterol, which according to research, we eat too much of already. When you cook brown rice, you would need to soak it in water for around 25 minutes to 30 minutes before doing the normal cooking process.?</p>",9.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
PUMPKINSEEDS100G,100G,18.0,No,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
SOYLECITIHINGRANULES453G,453G,108.0,Yes,0,0,0,0,0,Yes,0.0,0,0,0,0.0,0,0.0
PSYLLIUMSEEDS300G,300G,30.0,Yes,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0.0
CHOCOLATECHIPCOOKIEMIXGLUTENFREE453G,453G,60.0,Yes,0,0,0,0,35,Yes,0.0,0,0,0,0.0,0,35.0
